Products,ADM2,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021
Хонины мах_кг,Алдархаан,"3,500.","3,500.","3,500.","3,500.","3,500.","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.","4,500.","4,500.","4,500.","4,500.","6,500.","6,500.","6,750.","7,000.","7,000.","7,000.","6,500.","6,500.","6,000.","5,500.",,,,,,,,,"7,000.","7,000.","7,000.",,,,,,,,,,,,,,,
Хонины мах_кг,Баянтэс,"3,667.","3,666.67","3,666.67","3,666.67","3,666.67","3,666.67","3,666.67","3,666.67","5,166.67","5,166.67","5,166.67","4,333.33","4,333.","4,333.33","3,666.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Хонины мах_кг,Их-Уул,"3,667.","3,666.67","3,666.67","3,666.67","6,500.","6,500.","6,500.","5,166.67","5,333.33","5,333.33","5,333.33","4,000.","4,000.","4,000.","4,000.","4,000.","5,666.67","6,500.","6,500.","6,500.","6,500.","6,500.","5,500.","5,500.","6,000.","6,000.","6,000.","6,000.","7,500.","7,500.","7,500.","7,500.","7,500.","8,000.","8,000.","7,000.","7,000.","7,000.","6,500.",,"8,000.","8,500.","8,500.","8,500.","8,500.","8,500.","8,500.","7,800.",,"6,500.","6,500."
Хонины мах_кг,Отгон,"3,500.","3,500.","3,500.","3,500.","3,500.","5,833.33","5,833.33","5,833.33","5,500.","5,500.","5,500.","4,000.","4,000.","4,000.","4,000.","4,000.","4,000.","5,166.67","4,000.","4,000.","4,000.","4,000.","4,000.","4,000.","5,000.","5,000.","5,333.33","5,000.","5,000.","5,000.","5,000.","5,000.","5,000.",,,,,,,,,,,,,,,,,,
Хонины мах_кг,Тосонцэнгэл,"3,667.","3,666.67","3,666.67","3,666.67","3,666.67","5,166.67","6,166.67","5,666.67","5,333.33","5,333.33","4,500.","3,666.67","4,000.","4,166.67","4,166.67","4,166.67","4,166.67","6,000.","5,333.33","5,333.33","5,333.33","5,333.33","5,333.","5,333.33","5,500.","5,500.","5,500.","5,500.","7,333.","7,333.","7,333.","7,333.","7,333.","7,333.","7,500.",,"7,500.","7,500.","7,500.","7,500.","8,500.","8,500.","8,500.","8,500.","8,500.","8,500.","8,500.","8,500.","8,500.","8,500.","8,500."
Хонины мах_кг,Тэлмэн,"3,333.","3,333.33","3,333.33","3,333.33","3,333.33","6,166.67","6,166.67","5,500.","5,333.33","5,333.33","4,666.67","3,666.67","3,667.","3,666.67","3,666.67","3,666.67","3,666.67","3,666.67","3,666.67","3,666.67","3,666.67","3,666.67","3,667.","3,666.67","3,667.","3,666.67","3,666.67","3,667.","3,667.","3,667.","5,000.","5,000.","5,000.","12,000.","12,000.","12,000.","12,000.","3,667.","3,667.","3,667.","3,667.","3,667.","4,000.","8,000.","8,000.","8,000.","8,500.",,,,
Хонины мах_кг,Тэс,"3,667.","3,666.67","3,666.67","3,666.67","3,666.67","6,000.","6,000.","5,166.67","5,333.33","5,333.33","5,333.33","3,133.33","3,667.","3,666.67","3,666.67","3,666.67","3,666.67","3,666.67",,,,,,"4,800.",,,,,,,,,,,,,,,,,,,,,,,"8,000.","8,000.","8,000.","8,000.","8,000."
Хонины мах_кг,Баян-Уул,,,,,,,,,,,,,"2,800.","2,800.","2,800.","2,800.","5,500.","7,000.","7,000.","7,000.",,,,,,"4,800.","4,800.","4,800.","6,000.","8,000.","8,000.","8,000.","8,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000.","6,000."
Хонины мах_кг,Дэлгэр,,,,,,,,,,,,,,,,,,,,"5,500.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.","4,500.",,,,,,,,,,,,,,,,,,,,,,,
Хонины мах_кг,Цогт,,,,,,,,,,,,,"3,200.","3,200.","3,200.","3,200.","5,500.","5,500.","5,500.","3,200.","3,200.",,,,"3,200.","4,500.","4,500.","4,500.","6,500.","6,500.","6,500.","6,500.","6,500.","6,500.","6,500.","6,500.",,,,,"5,750.","5,750.","5,750.","5,750.","5,750.","5,750.","5,750.","5,750.","5,750.","5,750.","5,750."
