Index,Bag,ProvinceName,Sumd,StockType,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
14,      Завхан,Завхан,Завхан,Үхэр,138.9,150.91,150.35,151.12,153.97,154.43,153.7,145.96,146.81,147.79,146.95,141.24,135.76,138.71,145.46,152.16,157.24,165.75,167.44,179.63,195.8,195.45,194.23,189.51,226.25,258.2,275.35,283.82,281.88,271.42,158.02,88.8,83.15,87.38,96.25,107.15,127.23,146.95,149.76,137.42,73.7,83.27,98.35,115.28,138.89,158.86,172.36,192.16,205
20,        Улиастай,Завхан,Улиастай,Үхэр,0.96,0.96,0.94,0.97,1.15,1.62,1.72,2.22,1.51,1.89,2.1,2.13,2.51,3.46,3.58,4.52,3.01,3.1,3.34,4,7.37,6.23,7.91,8.68,10.38,12.72,12.73,11.67,9.72,8.92,5.34,3.18,2.83,3.12,3.75,3.61,4.24,4.93,5.5,4.86,2.08,2.34,2.69,3.55,4.66,5.23,6.09,6.81,7.84
26,        Алдархаан,Завхан,Алдархаан,Үхэр,14.63,15.5,15.81,15.17,15.19,15.79,15.49,14.34,15.19,14.96,14.26,13.07,12.45,12.55,12.88,13.61,13.67,13.59,12.94,14.96,14.47,14.62,13.73,11.02,12.86,15.35,16.32,16.32,15.86,16.39,8.6,5.82,5.92,5.9,6.46,6.76,7.98,9.92,9.84,9.29,3.21,3.79,5,6.23,8.23,9.66,11.67,14.54,16.29
32,        Асгат,Завхан,Асгат,Үхэр,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1,1.27,1.4,1.77,2.24,2.46,2.83,3.06,3.6,3.53,2.9,2.55,2.46,1.86,1.53,0.83,0.68,0.68,0.85,1.05,1.29,1.77,1.82,1.69,1.38,1.55,1.8,2.3,2.69,2.85,3.16,3.65,3.87
38,        Баянтэс,Завхан,Баянтэс,Үхэр,6.09,6.35,5.9,8.32,6.9,6.84,6.65,6.53,6.45,6.3,6.46,5.94,5.37,5.68,6.24,6.75,7.28,8.13,8.58,8.78,9.76,7.18,6.79,6.71,7.84,8.29,7.51,6.46,6.02,3.68,2.74,2.26,2.21,2.3,2.39,2.89,3.43,3.81,3.98,3.17,2.72,3.2,3.97,4.77,5.91,7.06,7.57,8.77,9.51
44,          Баянхайрхан,Завхан,Баянхайрхан,Үхэр,5.45,5.91,5.36,5.17,4.82,4.53,4.51,4.42,4.38,4.35,4.42,3.91,3.69,4.05,4.5,5.39,4.89,5.27,5.52,5.84,6.4,6.51,6.25,6.31,7.14,8.4,8.21,8.29,7.33,5.67,3.09,1.75,1.65,2.09,2.51,2.93,3.42,4.01,4.11,4.3,3.67,4.03,4.41,5.02,5.88,6.65,6.12,6.55,7.34
50,          Дөрвөлжин,Завхан,Дөрвөлжин,Үхэр,3.86,4.28,4.5,4.34,4.4,4.52,4.71,4.27,4.12,3.61,3.57,3.41,3.49,2.26,2.35,2.67,2.82,2.93,3.17,3.25,3.33,3.66,3.33,3.64,4.42,5.35,5.63,5.09,4.77,4.77,3.22,2.1,1.04,1.16,1.38,1.71,1.99,2.51,2.68,2.14,1.08,1.13,1.4,1.89,2.39,2.86,3.45,4.1,3.58
56,          Завханмандал,Завхан,Завханмандал,Үхэр,3.05,3.33,3.13,3.09,3.26,3.02,2.88,2.65,2.52,2.33,2.44,2.32,2.41,2.38,2.31,2.62,2.74,2.91,3.2,3.39,3.64,3.75,3.87,4.04,4.99,5.69,5.38,5.26,5.09,4.98,1.42,1.37,1.6,2.06,2.31,2.62,2.94,3.34,1.84,1.01,0.63,0.68,0.98,1.26,1.57,1.97,2.29,2.41,1.89
62,          Идэр,Завхан,Идэр,Үхэр,6.63,7.08,6.88,6.96,7.16,7.32,7.54,7.73,8.2,8.45,8.46,8.2,7.21,7.19,7.81,8.44,8.57,8.88,9.08,9.57,10.28,11.53,11.64,10.34,12,12.57,14.23,16.42,17.52,18.78,15.33,4.53,3.85,4.14,5,5.92,6.9,8.49,9.79,7.76,3.74,4.32,5.07,5.71,6.88,7.87,8.5,9.56,9.95
68,          Их-Уул,Завхан,Их-Уул,Үхэр,14.85,16.26,16.81,17.63,19.03,19.62,18.77,16.69,16.8,17.45,17.27,17.77,17.78,18.12,19.64,20.02,20.9,22.27,21.95,23.29,24.88,21.57,22.38,23.02,27.33,29.09,32.81,33.51,32.92,33.4,27.17,16.06,14.87,12.33,13.01,13.96,15.91,17.7,19.4,19.18,14.88,15.08,17.4,19.89,23.01,25.13,25.24,26.86,29.2
74,          Нөмрөг,Завхан,Нөмрөг,Үхэр,5.58,5.98,6.09,5.87,5.87,5.37,5.74,5.07,5.31,5.49,5.51,4.99,4.32,4.52,5.17,5.5,5.81,6.06,6.07,6.58,6.69,6.71,6.7,6.71,7.73,9.25,10.46,12.47,13.37,11.99,4.78,1.68,1.51,2,2.41,3.13,4.04,5.25,5.86,6.04,2.85,3.47,4.07,4.91,6.14,7.27,8.49,8.93,9.37
