CID,NATIONAL,REGION,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM3,ADM4,,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
C1,National,,,,,,,,,Үхэр,2107.83,2176.09,2189.38,2234.73,2363.94,2427.05,2417.4,2388.3,2481.5,2476.9,2397.1,2376.3,2395.5,2373.9,2373.9,2408.1,2525.9,2525.9,2692.7,2692.7,2848.7,2822,2819.2,2730.5,3005.2,3317.1,3476.2,3612.7,3725.8,3824.8,3097.6,2069.6,1884.3,1792.8,1841.6,1963.6,2167.9,2425.8,2503.4,2599.3,2176,2339.7,2584.62,2909.46,3413.85,3780.4,4080.94,4388.46,4380.88,4753.19,4732.01
C2,National,Western,,,,,,,,Үхэр,497.31,544.17,549.05,563.38,579.95,557.22,546.18,529.12,533.81,536.74,546.71,546.91,536.8,530.57,524.1,563.95,586.21,617.93,635.71,662.93,692.36,656.06,636.32,624.57,730.26,834.05,863.84,856.39,812.4,783.5,557.35,398.26,339.54,357.74,391,421.81,478.77,529.66,501.39,446.38,323.49,369.36,423.84,497.47,599.28,675.36,742.22,815.96,822.74,854.56,858.96
C3,National,Western,Завхан,MN81,Завхан,,Завхан,,,Үхэр,138.9,150.91,150.35,151.12,153.97,154.43,153.7,145.96,146.81,147.79,146.95,141.24,135.76,138.71,145.46,152.16,157.24,165.75,167.44,179.63,195.8,195.45,194.23,189.51,226.25,258.2,275.35,283.82,281.88,271.42,158.02,88.8,83.15,87.38,96.25,107.15,127.23,146.95,149.76,137.42,73.7,83.27,98.35,115.28,138.89,158.86,172.36,192.16,205,228.7,225
C4,National,Western,Завхан,MN81,Улиастай,MN8109,Улиастай,,,Үхэр,0.96,0.96,0.94,0.97,1.15,1.62,1.72,2.22,1.51,1.89,2.1,2.13,2.51,3.46,3.58,4.52,3.01,3.1,3.34,4,7.37,6.23,7.91,8.68,10.38,12.72,12.73,11.67,9.72,8.92,5.34,3.18,2.83,3.12,3.75,3.61,4.24,4.93,5.5,4.86,2.08,2.34,2.69,3.55,4.66,5.23,6.09,6.81,7.84,9.79,10.05
C5,National,Western,Завхан,MN81,Улиастай,MN8109,"1-р баг, Жинст","1-р баг, Жинст",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,0.79,0.88,0.94,1.06,1.11,1.22,1.62,1.66
C6,National,Western,Завхан,MN81,Улиастай,MN8109,"2-р баг, Жаргалант","2-р баг, Жаргалант",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.66,1.06,1.19,1.4,1.44,1.71,2.24,2.22
C7,National,Western,Завхан,MN81,Улиастай,MN8109,"3-р баг, Чигэстэй","3-р баг, Чигэстэй",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.77,0.97,1.21,1.48,1.4,1.45,1.73,1.84
C8,National,Western,Завхан,MN81,Улиастай,MN8109,"4-р баг, Богдын гол","4-р баг, Богдын гол",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,0.65,0.85,0.82,0.94,1.28,1.39,1.66,1.62
C9,National,Western,Завхан,MN81,Улиастай,MN8109,"5-р баг, Товцог","5-р баг, Товцог",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.43,0.61,0.8,0.79,1.08,1.51,1.88,2.01
C10,National,Western,Завхан,MN81,Улиастай,MN8109,"6-р баг, Өлзийт","6-р баг, Өлзийт",,Үхэр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.25,0.28,0.28,0.42,0.5,0.57,0.67,0.71
