Index,ProvinceName,ADM1_PCODE,Sumd,ADM2_PCODE,StockType,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,change-decimal,change_%
2045,Хэнтий,MN23,Хэрлэн,MN2301,goats,0.06,0.04,0.04,0.05,3.15,0.08,0.08,0.07,0.07,0.11,0.12,0.18,0.21,0.22,0.27,0.31,0.31,0.39,0.45,0.76,1.39,1.29,2.01,2.88,4.46,13.69,15.59,20.92,20.13,20.59,31.89,31.3,31.67,43.19,46.36,53.08,60.55,78.78,80.62,86.28,78.63,85.86,93.93,104.66,124.65,131.7,145.97,162.92,179.03,1626.545455,162655%
2099,Хэнтий,MN23,Дадал,MN2328,goats,0,0,0,0,3.72,0,0,0,0,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.05,0.1,0.12,0.1,0.12,0.13,0.25,0.43,0.59,0.65,0.95,1.48,1.84,1.99,2.34,2.53,3.21,3.11,3.15,3.5,4.25,5.11,7.06,6.4,6.29,6.79,7.18,7.78,8.59,8.6,9.29,9.76,10.94,1093,109300%
1961,Сүхбаатар,MN22,Баруун-Урт,MN2201,goats,0.03,0.03,0.04,0.07,0.08,0.1,0.12,0.11,0.09,0.11,0.08,0.08,0.11,0.11,0.16,0.34,0.57,0.48,0.58,1,2.34,3.75,5.51,0,10.47,11.35,13.05,17.57,24.26,28.07,28.89,33.39,40.94,48.74,43.54,43.6,52.49,55,53.04,64.79,69.53,78.34,93.76,99.33,115.83,124.3,113.57,129.17,120.03,1090.181818,109018%
1949,Дорнод,MN21,Чулуунхороот,MN2140,goats,2.36,0.03,0.01,0.02,0.03,0.03,0.03,0.05,0.03,0.04,0.03,0.03,0.05,0.06,0.08,0.09,0.09,0.08,0.09,0.11,0.13,0.25,0.43,0.61,0.79,0.78,0.89,1.15,1.53,1.71,2.37,3.17,4.48,6.42,6.69,8.76,10.89,14.52,18.77,18.17,16.81,17.56,16.22,16.31,16.65,19.1,20.4,25.35,29.15,727.75,72775%
2015,Сүхбаатар,MN22,Түмэнцогт,MN2228,goats,0.04,0.05,0.06,0.07,0.11,0.11,0.13,0.13,0.15,0.11,0.13,0.12,0.14,0.12,0.11,0.12,0.21,0.24,0.28,0.34,0.45,0.87,1.32,0,2.81,4.09,4.99,6.2,7.36,8.78,10.31,12.85,15.53,14.63,17.74,21.86,25.77,29.49,20.01,23.44,20.25,24.71,24.81,23.67,28.22,32.08,36.35,42.72,48.27,437.8181818,43782%
1541,Дорноговь,MN44,Сайншанд,MN4401,goats,0.19,0.2,0.13,0.18,19.33,0.6,0.63,0.69,0.52,0.16,0.07,0.03,0.06,0.27,0.31,0.42,0.53,0.56,0.72,1.02,1.67,3.6,5.48,6.81,15.14,17.56,19.25,22.98,21.59,26.68,27.76,25.78,26.85,33.19,34.08,19.89,8.09,11.72,18.46,25.15,25.97,29.82,32.88,37.46,40.73,45.96,44.74,51.66,55.44,345.5,34550%
1337,Төв,MN41,Жаргалант,MN4149,goats,0.6,3.39,0.31,10.28,0.25,0.24,0.22,0.2,0.15,0.14,0.12,0.15,0.21,0.34,0.38,0.35,0.4,0.44,0.46,0.61,0.72,1.52,2.34,3.03,3.86,5.24,6.82,8.98,11.61,13.59,17.78,16.34,21.2,14.26,15.73,18.62,25.32,37.59,51.14,54.64,46.75,46.55,45.42,48.21,53,52.73,53.33,45.25,45.71,325.5,32550%
971,Архангай,MN65,Эрдэнэбулган,MN6501,goats,0.1,0.13,0.14,0.14,0.06,0.11,0.13,0.18,0.26,0.21,0.24,0.36,1.33,1.19,1.32,1.33,1.69,1.95,2.35,2.77,4.14,5.39,8.64,8.47,11.17,12.7,12.81,15.63,18.34,21.75,26.66,24.08,22.08,23.73,27.94,35.83,39.44,43.79,51.15,51.56,26.24,34.27,38.93,45.49,51.17,51.87,58.32,59.24,64.06,304.047619,30405%
1673,Өмнөговь,MN46,Даланзадгад,MN4601,goats,0.28,0.3,0.36,0.5,0.56,0.78,0.88,0.9,0.4,0.32,0.27,0.43,0.83,0.91,1.04,1.21,1.79,2.73,2.91,4.84,9.05,16.55,18.3,18.8,27.21,34.16,36.8,44.35,47.78,47.8,42.55,33.49,20.9,23.39,28.44,31.03,31.7,40.53,53.52,57.29,23.72,26,33.25,43.53,53.21,54.4,65.11,77.13,72.54,225.6875,22569%
1055,Архангай,MN65,Цахир,MN6543,goats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.55,3.62,4.61,5.61,7.28,7.9,8.73,8.1,7.26,8.13,9.72,10.35,11.95,14.25,17.77,21.15,22.09,19.19,21.68,22.29,24.45,24.71,25.5,23,27.45,30.17,#DIV/0!,#DIV/0!
