zoneCode,#  zone,Aimag,ADM1_MN,Soum,Soum2,ADM2_PCODE,pasture_area_ha,pasture_grass_yield_kg_dryMass,livestock_sheepunits,grazing_fee,fee_perSheep,fee_monthly,revenue,p_soum_fund,p_rm_fund,p_qe_fund
1,8,Arhangai,MN65,Bulgan,Булган,MN6507,152363,237,324822,1920.3,900.7,75.06,293,44,119,130
1,5,Arhangai,MN65,Cecerleg,Цэцэрлэг,MN6549,190551,267,579361,2802.3,921.7,76.81,534,78,211,244
1,6,Arhangai,MN65,Chuluut ,Чулуут,MN6552,254674,328,468582,1546.8,840.7,70.06,394,63,171,160
1,7,Arhangai,MN65,Erdenemandal,Эрдэнэмандал,MN6555,255402,349,864476,3073.2,908,75.66,785,117,316,353
1,4,Arhangai,MN65,Hangai,Хангайн бүс,MN6534,330734,199,269620,637.7,782.2,65.18,211,36,98,76
1,1,Arhangai,MN65,IhTamir,Их тамир,MN6513,261137,286,769733,2692.7,913.5,76.13,703,104,281,318
1,9,Arhangai,MN65,Jargalant,Жаргалант,MN6510,89692,283,534622,5707.8,957.6,79.8,512,72,195,245
1,2,Arhangai,MN65,Ondor-Ulaan,Өндөр-Улаан,MN6522,305645,362,738085,2091.7,866.2,72.18,639,100,269,270
1,3,Arhangai,MN65,Tariat,Тариат,MN6525,151889,355,515396,3076.1,906.5,75.54,467,70,188,210
2,5,Arhangai ,MN65,Batcengel ,Батцэнгэл,MN6504,315163,376,791353,2197.5,875.2,72.93,693,107,289,297
2,3,Arhangai ,MN65,Cahir ,Цахир,MN6543,271925,69,210594,716.6,925.3,77.11,195,28,77,90
2,4,Arhangai ,MN65,Cenher ,Цэнхэр,MN6546,135048,505,717975,4895.6,920.8,76.74,661,97,262,302
2,2,Arhangai ,MN65,Hairhan ,Хайрхан,MN6531,195487,263,670903,3213.2,936.3,78.02,628,91,245,293
3,4,Arhangai ,MN65,Hashaat ,Хашаат,MN6537,251003,155,629701,2383.6,950.1,79.18,598,85,230,283
2,6,Arhangai ,MN65,Hotont ,Хотонт,MN6540,179228,595,710089,3465.8,874.8,72.9,621,96,259,266
3,2,Arhangai ,MN65,Ogiinuur ,Өгийнуур,MN6516,158768,107,571894,3515.7,976,81.33,558,77,209,272
3,3,Arhangai ,MN65,Olziit ,Өлзийт,MN6519,161702,323,557675,3188.4,924.5,77.04,516,75,204,237
2,1,Arhangai ,MN65,Tuvshruuleh ,Төвшрүүлэх,MN6528,82427,870,292251,2820.4,795.5,66.29,232,39,107,86
4,8,Bayanhongor ,MN64,Baacagaan             ,Баацагаан,MN6404,715555,55,717016,943.5,941.5,78.46,675,97,262,317
3,10,Bayanhongor ,MN64,Bayanbulag             ,Баянбулаг,MN6407,315700,172,211789,532.5,0,66.14,168,29,77,62
4,3,Bayanhongor ,MN64,Bayancagaan           ,Баянцагаан,MN6422,538217,91,494409,821.7,894.5,74.54,442,67,180,195
4,9,Bayanhongor ,MN64,Bayangov'             ,Баянговь,MN6410,424512,113,422560,875,879,73.25,371,57,154,160
3,11,Bayanhongor ,MN64,Bayanhongor          ,Баянхонгор,MN6401,4783,67,372123,77755,999.3,83.28,372,50,136,186
4,1,Bayanhongor ,MN64,Bayanlig ,Баянлиг,MN6413,690332,63,458663,597.8,899.8,74.98,413,62,167,183
4,2,Bayanhongor ,MN64,Bayan-Ondor          ,Баян-Өндөр,MN6419, ,47,363324,544.9,916,76.33,333,49,133,151
3,5,Bayanhongor ,MN64,Bayan-Ovoo ,Баян-Овоо,MN6416,321726,127,445529,1282.7,926.3,77.19,413,60,163,190
4,4,Bayanhongor ,MN64,Bogd             ,Богд,MN6425,383356,116,487928,1149,902.8,75.23,440,66,178,197
3,6,Bayanhongor ,MN64,Bombogor             ,Бөмбөгөр,MN6428,292377,94,518022,1695.8,957.1,79.76,496,70,189,237
4,5,Bayanhongor ,MN64,Buucagaan             ,Бууцагаан,MN6431,537253,139,591727,953.7,865.9,72.16,512,80,216,217
1,26,Bayanhongor ,MN64,Erdenecogt             ,Эрдэнэцогт,MN6458,274469,227,425293,1346.6,869,72.42,370,57,155,157
1,24,Bayanhongor ,MN64,Galuut             ,Галуут,MN6434,339128,215,546484,1419.3,880.8,73.4,481,74,199,208
1,25,Bayanhongor ,MN64,Gurvanbulag           ,Гурванбулаг,MN6437, ,134,296019,558.1,823.8,68.65,244,40,108,96
3,9,Bayanhongor ,MN64,Huereemaral           ,Хүрээмарал,MN6452,424420,201,364577,696.8,811.2,67.6,296,49,133,113
3,12,Bayanhongor ,MN64,Jargalant ,Жаргалант,MN6440,402765,249,334596,629.5,757.8,63.15,254,45,122,86
4,6,Bayanhongor ,MN64,Jinst             ,Жинст,MN6443,522884,83,415090,705.3,888.5,74.04,369,56,152,161
3,8,Bayanhongor ,MN64,Olziit             ,Өлзийт,MN6449,382388,105,531297,1304.8,939.1,78.26,499,72,194,233
4,7,Bayanhongor ,MN64,Shinejinst ,Шинэжинст,MN6455,990491,57,371715,314.1,837,69.75,311,50,136,125
3,7,Bayanhongor ,MN64,Zag             ,Заг,MN6446,251710,122,292029,1061.5,915,76.25,267,39,107,121
1,10,Bayan-Olgii,MN83,Bugat,Бугат,MN8313,195401,191,212994,919.2,843.3,70.28,180,29,78,73
1,11,Bayan-Olgii,MN83,Bulgan,Булган,MN8316,461383,76,301355,585.7,896.8,74.73,270,41,110,120
1,20,Bayan-Olgii ,MN83,Altai ,Алтай,MN8304,268214,262,306734,909.4,795.2,66.27,244,41,112,91
1,21,Bayan-Olgii ,MN83,Altancogc ,Алтанцөгц,MN8307,146559,142,212436,1323.1,912.8,76.07,194,29,78,88
1,22,Bayan-Olgii ,MN83,Bayannuur ,Баяннуур,MN8310,158294,96,303212,1830.2,955.5,79.62,290,41,111,138
1,12,Bayan-Olgii ,MN83,Buyant ,Буянт,MN8319,181428,190,253039,1224.8,878.2,73.18,222,34,92,96
1,19,Bayan-Olgii ,MN83,Cengel ,Цэнгэл,MN8340,263069,135,395570,1383.4,920,76.67,364,53,144,166
1,13,Bayan-Olgii ,MN83,Deluun ,Дэлүүн,MN8322,495524,167,566740,994.8,869.8,72.48,493,77,207,210
1,14,Bayan-Olgii ,MN83,Nogoonnuur ,Ногооннуур,MN8325,379151,174,409159,924,856.2,71.35,350,55,149,146
