Статистик үзүүлэлт,Статистик үзүүлэлт,Эдийн засгийн үйл ажиллагааны салбарын ангилал,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"        ДНБ, оны үнээр","GDP, annually",Бүгд,"12,803.9","22,600.7","56,130.3","227,677.4","382,103.2","651,455.7","737,996.6","932,926.2","945,461.2","1,080,532.0","1,224,062.1","1,391,878.2","1,550,609.9","1,829,072.2","2,361,156.9","3,041,405.7","4,027,558.6","4,956,647.2","6,555,569.4","6,590,637.1","9,756,588.4","13,173,763.4","16,688,419.6","19,174,242.6","22,227,054.3","23,150,385.6","23,942,866.4","27,876,297.2","32,411,224.1","37,280,841.4"
"        ДНБ, оны үнээр","GDP, annually","Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур","1,597.1","2,669.5","14,345.3","58,534.4","105,012.0","212,002.1","283,959.0","300,746.3","306,644.9","342,505.2","335,668.8","319,698.9","293,361.8","337,272.1","472,934.5","602,136.3","710,609.2","913,409.2","1,259,660.8","1,177,380.3","1,144,697.9","1,357,866.8","1,878,786.4","2,572,044.9","2,965,360.5","3,091,999.1","2,798,772.6","2,865,391.3","3,495,732.5","4,026,562.8"
"        ДНБ, оны үнээр","GDP, annually","Уул уурхай, олборлолт","1,599.3","2,359.8","6,411.2","22,747.9","39,348.4","73,841.5","76,197.8","132,390.3","81,274.1","94,909.3","132,400.1","117,076.1","144,753.7","206,557.8","391,597.6","642,089.0","1,145,733.9","1,340,854.4","1,324,247.7","1,285,899.7","2,102,157.9","2,536,239.6","2,742,750.5","2,849,415.3","3,661,031.2","3,955,963.0","4,817,296.4","6,543,376.7","7,721,008.9","8,642,609.9"
"        ДНБ, оны үнээр","GDP, annually",Боловсруулах үйлдвэрлэл,"2,608.0","3,834.6","10,435.6","37,075.4","64,103.8","112,581.0","56,653.9","78,899.9","66,930.0","75,925.8","82,040.8","114,828.1","99,138.6","121,551.5","130,576.3","175,155.9","218,885.6","309,500.4","430,179.4","425,000.6","664,815.3","931,377.5","1,248,666.3","1,672,313.0","1,950,933.7","1,768,221.5","1,753,661.0","2,516,329.3","3,063,612.0","3,508,468.4"
"        ДНБ, оны үнээр","GDP, annually","Цахилгаан, хий, уур, агааржуулалт",284.6,418.5,"1,138.9","4,046.1","6,995.8","12,286.2","14,216.1","24,790.9","31,923.8","32,387.3","25,487.1","36,283.2","52,423.7","53,680.6","65,426.1","75,928.2","92,897.2","97,309.1","119,968.0","157,422.9","190,211.6","212,394.1","233,858.6","270,514.2","313,587.1","379,866.7","469,135.4","477,997.9","546,826.7","609,660.4"
"        ДНБ, оны үнээр","GDP, annually","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",49.6,75.2,201.6,708.0,"1,228.9","2,170.7","2,505.2","4,346.9","5,496.4","5,622.6","4,511.6","6,478.2","9,474.1","9,817.5","11,968.1","13,768.9","14,058.4","16,294.7","26,015.0","26,356.8","31,210.6","44,994.4","72,529.7","77,534.0","86,481.1","103,956.1","122,948.3","124,867.6","135,512.4","163,941.3"
"        ДНБ, оны үнээр","GDP, annually",Барилга,735.6,"1,072.2","1,285.1","3,821.8","8,386.7","13,088.6","24,992.6","25,687.1","28,095.8","32,159.5","27,254.9","30,738.6","42,858.8","69,683.8","69,429.0","81,408.4","86,792.3","106,421.1","122,051.0","86,238.7","250,230.7","402,828.3","837,487.5","979,689.0","988,960.7","977,999.2","949,053.0","1,029,776.9","1,191,064.4","1,411,043.4"
"        ДНБ, оны үнээр","GDP, annually","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ","2,090.5","3,774.9","5,819.3","36,320.7","43,338.8","59,632.7","69,525.3","96,650.6","110,681.2","112,438.5","115,903.1","129,544.7","162,803.4","185,210.8","202,639.9","227,478.2","271,511.6","313,204.4","472,226.5","432,646.2","1,199,007.2","1,973,260.4","2,231,148.5","2,267,231.1","2,544,761.3","2,670,254.4","2,646,609.6","2,875,573.2","3,025,294.6","3,547,228.2"
"        ДНБ, оны үнээр","GDP, annually",Тээвэр ба агуулахын үйл ажиллагаа,"1,044.8","1,057.9","2,140.0","11,467.0","24,327.5","29,924.3","40,001.1","53,652.1","64,110.6","70,804.3","92,556.5","118,884.9","149,765.4","166,101.2","198,897.0","256,726.4","287,501.5","322,307.0","419,323.2","546,745.5","677,906.2","802,897.1","894,427.6","843,617.4","1,109,154.6","1,210,594.9","1,239,442.6","1,370,368.1","1,516,685.7","1,732,633.3"
"        ДНБ, оны үнээр","GDP, annually","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",66.4,182.9,386.4,"1,067.0","2,019.6","3,997.6","6,024.9","9,039.3","9,879.5","12,702.3","10,766.8","11,275.1","12,085.5","12,633.1","15,024.0","19,341.7","22,994.3","28,806.4","38,971.4","43,680.8","52,631.0","94,304.6","186,231.8","205,536.5","196,564.8","215,806.2","241,767.2","266,641.3","321,289.3","399,338.0"
"        ДНБ, оны үнээр","GDP, annually","Мэдээлэл, холбоо",381.7,397.5,811.0,"4,232.0","8,929.7","11,366.3","15,080.7","20,394.5","24,198.9","26,790.7","34,563.9","44,550.0","56,627.7","62,869.2","75,269.9","96,261.1","100,502.0","166,189.0","221,339.0","215,504.0","255,691.2","290,259.9","379,560.9","413,946.4","492,124.3","496,609.4","489,308.6","489,843.3","553,519.4","648,522.8"
"        ДНБ, оны үнээр","GDP, annually",Санхүүгийн болон даатгалын үйл ажиллагаа,142.1,391.6,827.3,"2,284.7","4,324.3","8,559.6","14,234.4","17,164.0","17,020.3","26,252.0","30,754.4","42,534.7","49,892.1","74,166.0","97,562.5","112,278.8","116,016.0","155,198.1","236,327.4","212,724.0","239,607.2","381,098.0","583,528.6","782,311.6","1,041,781.8","1,239,660.8","1,224,335.9","1,417,519.9","1,559,084.7","1,802,441.8"
"        ДНБ, оны үнээр","GDP, annually",Үл хөдлөх хөрөнгийн үйл ажиллагаа,810.8,"1,495.5","3,381.5","12,020.5","20,376.9","13,151.8","15,848.2","19,573.7","23,254.0","35,839.0","48,907.1","83,370.3","113,957.5","125,910.9","137,681.2","160,522.7","173,846.0","186,823.5","345,984.2","479,635.3","687,697.6","884,158.2","957,312.6","1,162,261.2","1,495,080.1","1,586,277.7","1,639,977.0","1,660,290.0","1,825,117.0","1,934,163.7"
