GID,NATIONAL,ADM,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM4,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
G1,National,,,,,,,Ямаа,"4,204.00","4,194.78","4,338.41","4,442.19","4,574.37","4,594.59","4,548.30","4,411.10","4,704.60","4,714.90","4,566.70","4,595.40","4,801.50","4,548.50","4,298.00","4,298.60","4,401.30","4,387.70","4,474.30","4,959.10","5,127.70","5,249.60","5,602.50","7,241.30","7,241.30","8,520.70","9,134.80","10,265.40","11,061.90","11,033.70","10,269.80","9,591.30","9,134.80","10,652.90","12,238.00","13,267.40","15,451.70","18,347.80","19,969.40","19,651.50","13,883.20","15,934.60","17,558.67","19,227.58","22,008.90","23,592.92","25,574.86","27,346.71","27,124.70","29,261.66","27,720.25"
G2,National,Western,,,,,,Ямаа,"1,676.46","1,735.45","1,724.65","1,812.62","1,783.93","1,761.85","1,757.71","1,670.57","1,746.51","1,768.21","1,746.77","1,704.30","1,753.96","1,688.95","1,577.69","1,708.20","1,750.00","1,788.44","1,821.67","1,922.22","1,977.92","1,951.31","2,060.45","2,288.77","2,781.96","3,264.35","3,386.51","3,619.54","3,665.77","3,644.90","3,426.17","3,215.88","2,881.88","3,574.21","4,222.91","4,525.80","5,421.41","6,190.80","6,145.44","5,340.53","3,643.89","4,340.96","4,768.74","5,293.51","6,064.62","6,654.35","7,272.68","7,702.37","7,319.93","7,575.66","7,716.26"
G3,National,Western,Завхан,MN81,Завхан,,,Ямаа,276.33,291.31,296.76,295.17,296.12,304.41,311.31,278.48,309.01,305.46,292.9,269.87,289.42,284.39,269.59,274.39,287.25,296.41,308.17,339.21,363.01,352.61,371.08,402.8,514.83,612.91,666.9,709.54,751.91,693.64,585,530.26,544.62,666.4,799.89,861.17,"1,052.26","1,253.65","1,295.57","1,097.58",685.7,831.63,910.66,"1,007.30","1,138.61","1,241.67","1,310.54","1,352.45","1,292.67","1,418.57","1,338.22"
G4,National,Western,Завхан,MN81,Улиастай,MN8109,,Ямаа,0.56,0.45,0.27,0.31,0.42,0.59,0.76,1.13,0.54,0.63,0.53,0.69,1.32,1.92,2.09,2.87,1.97,2.72,3.2,5.1,9.43,10.22,13.16,18.33,24.77,30.78,33.52,34.3,30.59,26.31,26.58,24.65,26.54,36.42,43.24,40.4,49.86,59,70.42,59.23,29.67,51.36,41.48,48.53,56.06,59.7,62.08,63.07,62.65,70.82,68.25
G5,National,Western,Завхан,MN81,Улиастай,MN8109,"1-р баг, Жинст",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.41,7.4,9.25,10.02,10.47,9.18,8.4,9.44,8.6
G6,National,Western,Завхан,MN81,Улиастай,MN8109,"2-р баг, Жаргалант",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.18,8.68,10.38,10.82,12.07,12.51,13.13,14.17,12.6
G7,National,Western,Завхан,MN81,Улиастай,MN8109,"3-р баг, Чигэстэй",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.53,10.05,10.64,12.04,11.98,11.03,11.33,11.36,12.01
G8,National,Western,Завхан,MN81,Улиастай,MN8109,"4-р баг, Богдын гол",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.22,8.86,10.9,10.78,11.06,12.65,11.26,14.06,13.07
G9,National,Western,Завхан,MN81,Улиастай,MN8109,"5-р баг, Товцог",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,8.72,10.07,11.38,11.26,11.53,12.47,14.43,14.27
G10,National,Western,Завхан,MN81,Улиастай,MN8109,"6-р баг, Өлзийт",Ямаа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,4.82,4.82,4.66,5.24,6.17,6.07,7.37,7.69
