Index,Bag,Aimag,Soumd,ProvinceName,StockType,StockTypeE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
17,      Завхан,Завхан,Завхан,Zavhan,Ямаа,goats,276.33,291.31,296.76,295.17,296.12,304.41,311.31,278.48,309.01,305.46,292.9,269.87,289.42,284.39,269.59,274.39,287.25,296.41,308.17,339.21,363.01,352.61,371.08,402.8,514.83,612.91,666.9,709.54,751.91,693.64,585,530.26,544.62,666.4,799.89,861.17,1052.26,1253.65,1295.57,1097.58,685.7,831.63,910.66,1007.3,1138.61,1241.67,1310.54,1352.45,1292.67
23,        Улиастай,Завхан,Улиастай,Uliastai,Ямаа,goats,0.56,0.45,0.27,0.31,0.42,0.59,0.76,1.13,0.54,0.63,0.53,0.69,1.32,1.92,2.09,2.87,1.97,2.72,3.2,5.1,9.43,10.22,13.16,18.33,24.77,30.78,33.52,34.3,30.59,26.31,26.58,24.65,26.54,36.42,43.24,40.4,49.86,59,70.42,59.23,29.67,51.36,41.48,48.53,56.06,59.7,62.08,63.07,62.65
29,        Алдархаан,Завхан,Алдархаан,Aldarhaan,Ямаа,goats,25.75,26.65,27.02,26.87,28.2,30.72,30.76,23.95,28.28,29.08,25.93,20.99,24.11,23.1,22.96,23.87,23.75,24.18,23.1,25.85,28.52,30.64,31.47,30.44,38.92,46.23,50.13,53.91,59.5,55.71,46.74,45.7,50.38,56.43,69.52,65.71,82.93,106.64,118.59,103.11,49.23,62.91,75.35,92.46,107.71,119.46,136.99,152.33,145.08
35,        Асгат,Завхан,Асгат,Asgat,Ямаа,goats,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.61,3.66,3.65,3.62,4.2,4.4,4.72,5.62,6.88,7.21,7.15,7.09,8.27,6.51,6.01,5.74,5.89,6.11,8.39,9.55,13.25,17.05,17.35,13.31,10.06,11.07,12.33,13.92,15.03,15.55,15.27,16.42,19.24
41,        Баянтэс,Завхан,Баянтэс,Bayantes,Ямаа,goats,14.35,14.8,14.87,26.27,25.01,23.39,23.96,24.69,27.12,27.13,23.59,20.48,18.03,21.3,22.73,18.79,21.33,23.71,25.93,29.66,31.96,18.87,19.37,21.23,28.47,31.43,32.5,31.81,36.84,25.87,25.98,26.22,29.59,32.38,39.35,45.8,55.96,61.67,74.02,49.6,38.91,40.86,43.9,46.11,54.38,59.75,56.63,63.84,72.04
47,          Баянхайрхан,Завхан,Баянхайрхан,Bayanhairhan,Ямаа,goats,9.53,9.89,9.4,8.54,8.27,8.7,9.5,9.05,10.32,10.5,9.98,8.52,8.8,9.38,8.72,9.51,6.46,5.81,6.27,7.35,8.43,8.19,8.43,9.59,12.41,15.57,16.95,20,20.12,18.05,15.75,13.31,15.73,20.36,24.98,26.61,29.25,35.31,36.37,36.26,28.04,30.06,30.4,33.18,35.2,36.62,32.29,33.51,36.96
53,          Дөрвөлжин,Завхан,Дөрвөлжин,Dorvoljin,Ямаа,goats,27.67,30.18,31.45,29.51,30.93,32.58,35.47,29.19,33.99,31.48,33.15,32.71,37.02,32.82,37.02,40.14,42.19,44.09,48.86,52.61,55.44,52.38,54.51,54.78,64.73,76.22,80.32,78.6,78.7,79.21,67.95,60.76,44.81,51.15,62.77,59.61,67.4,81.56,84.38,66.48,46.76,55.77,63.32,71.59,84.04,94.91,110.67,107.64,77.09
59,          Завханмандал,Завхан,Завханмандал,Zavhanmandal,Ямаа,goats,16.11,16.19,16.84,17.92,18.7,18.5,19.39,16.27,17.69,18.81,17.82,17.39,20.11,20.28,17.18,17.96,16.81,17.24,19.24,20.48,21.82,22.34,24.33,25.88,31.44,36.98,38.02,39.07,42.8,40.94,28.86,32.88,34.94,37.33,43.02,43.04,49.86,58.06,47.87,33.35,29.7,34.8,39.49,45.05,53.27,60.16,66.85,63.84,39.94
65,          Идэр,Завхан,Идэр,Ider,Ямаа,goats,5.9,6.06,5.99,6.08,6.36,6.72,7.45,7.01,7.88,7.93,8.3,8.97,8.05,8.19,8.49,8.01,7.87,8.06,7.02,7.44,7.29,7.07,7.66,7.15,9.32,10.44,13.08,15.96,17.67,18.11,17.83,13.96,15.52,18.9,24.29,30.39,38.83,49.42,54.84,36.25,25.83,29.31,33.32,33.64,37.6,39.9,41.5,40.05,38.82
71,          Их-Уул,Завхан,Их-Уул,Ih-Uul,Ямаа,goats,7.77,8.12,8.26,8.39,8.65,9.23,8.76,7.11,8.75,9.37,9.02,9.41,9.58,9.91,10.61,10.7,10.91,11.09,10.57,10.93,9.89,9.58,12.09,13.87,16.82,18.76,21.78,23.01,23.73,22.8,20,13.22,14.84,20.96,26.62,31.76,41.25,49.4,57.05,52.58,35.75,40.43,45.26,48.93,54.19,57.28,59.21,60.36,65.89
77,          Нөмрөг,Завхан,Нөмрөг,Nomrog,Ямаа,goats,5.16,5.12,5.18,5.05,4.88,5.07,5.23,4.55,5.16,5.46,5.64,5.42,5,4.86,4.76,4.74,4.69,5,5.48,6.46,6.57,4.44,3.78,4.75,6.55,8.91,11.57,13.72,15.42,14.37,11.4,7.45,9.2,14.38,17.43,22.47,29.58,35.95,35.04,27.3,15.39,18.44,19.7,22.49,26.75,29.65,32.29,29.59,31.19
