Index,Bag,ProvinceName,Sumd,StockType,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
13,      Завхан,Завхан,Завхан,Адуу,145.77,149.4,149.04,145.02,145.49,140.52,136.76,126.67,122,118.66,118.5,119.1,121.77,116.94,118.31,120.74,125.75,132.07,140.62,149.19,156.46,151.82,149.58,143.91,168.73,189.49,200.4,204.79,204.99,192.21,139.01,101.87,93.44,94.12,96.1,101.15,113.24,127.21,129.39,124.04,93.4,105.41,116.76,130.13,147.4,163.11,186.18,207.44,222.53
19,        Улиастай,Завхан,Улиастай,Адуу,0.69,0.87,0.44,0.56,0.65,0.8,0.93,1.3,0.77,0.69,0.68,0.68,1,1.29,1.23,1.78,0.92,0.92,1.1,1.56,2.45,3.17,3.44,3.36,4.05,4.26,4.31,3.71,2.61,2.39,2.07,1.69,1.47,1.68,1.66,1.55,1.67,1.83,2.07,2.05,1.56,1.87,2.43,3.33,3.58,3.7,4.01,4.65,5.5
25,        Алдархаан,Завхан,Алдархаан,Адуу,13.76,14.03,14.61,13.89,14.11,13.64,13.53,12.24,12.12,12,11.98,11.56,11.61,10.8,11.19,11.24,11.68,12.09,12.47,13.36,13.46,12.66,11.95,8.77,10.32,11.59,12.14,11.65,11.71,11.62,8.01,6.77,6.93,6.57,6.64,6.32,7.27,8.35,8.94,8.44,4.25,5.18,6.18,7.13,8.79,10.01,12.44,14.7,16.1
31,        Асгат,Завхан,Асгат,Адуу,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9,0.89,0.97,1.14,1.53,1.7,1.88,2.11,2.48,2.67,2.38,2.37,2.59,2.16,1.88,1.14,1.28,1.25,1.18,1.12,1.3,1.55,1.65,1.42,1.43,1.49,1.53,1.74,1.94,1.96,2.28,2.36,2.82
37,        Баянтэс,Завхан,Баянтэс,Адуу,4.3,4.49,4.2,8.2,7.6,7.54,7.18,6.67,6.46,6.1,6,5.88,6.07,5.77,6,5.34,5.86,6.36,6.79,6.93,7.43,4.83,4.96,5.35,6.05,6.39,6.08,5.7,5.53,3.16,2.59,2.38,2.21,2.12,2.2,2.55,2.88,3.02,3.17,3.02,3.05,3.53,3.74,4,4.38,4.82,5.39,6.27,7.53
43,          Баянхайрхан,Завхан,Баянхайрхан,Адуу,6.07,6.26,6.1,5.89,5.56,4.93,4.75,3.97,3.53,3.41,3.53,3.61,3.92,3.84,3.93,4.8,4.21,4.44,4.7,5.25,5.56,5.1,4.85,4.52,5.25,6.2,6.5,7.25,7.03,5.74,4.13,2.56,2.49,2.85,2.9,2.86,2.98,3.41,3.43,3.72,3.49,3.79,3.9,4.21,4.42,4.87,5.3,5.74,6.27
49,          Дөрвөлжин,Завхан,Дөрвөлжин,Адуу,8.93,9.36,9.5,8.5,8.62,8.1,8.21,7.42,7.06,6.17,5.69,5.73,5.61,6.41,6.1,6.28,6.08,6.56,7.21,7.51,7.51,7.33,7.13,6.19,6.79,7.76,8.38,7.99,7.94,8.02,6.58,5.62,4.25,4.53,5.01,5.53,5.72,7.24,7.23,6.25,4.53,5.22,6.01,7.09,8.25,9.24,10.68,11.65,11.1
55,          Завханмандал,Завхан,Завханмандал,Адуу,5.9,5.85,5.96,5.5,5.96,5.87,5.81,5.45,5.39,4.82,5.1,4.9,5.11,4.78,4.65,4.75,4.77,5.13,5.64,5.37,5.56,5.23,5.28,5.22,6.09,6.65,6.38,6.05,6.11,5.75,3.03,3.06,3.34,3.62,3.81,4.14,4.5,4.82,3.15,1.96,1.3,1.54,1.99,2.47,3.1,3.51,4.38,4.6,3.92
61,          Идэр,Завхан,Идэр,Адуу,5.61,5.73,5.68,5.32,5.39,5.36,5.37,5.26,5.24,5.01,5.12,5.25,5.07,4.52,4.39,4.42,4.38,4.48,4.71,4.78,4.93,5.35,5.64,5.29,6.02,6.28,6.94,7.53,7.96,8.48,8.17,6.01,3.83,2.81,3.02,3.42,3.93,4.61,5.28,5.57,5.71,5.95,6.13,6.22,6.76,7.53,8.67,9.68,10.47
67,          Их-Уул,Завхан,Их-Уул,Адуу,7.99,8.14,8.3,8.47,8.56,8.42,7.34,5.78,6.42,6.44,6.41,6.93,6.95,6.68,7.08,7.41,7.64,7.99,8.51,8.9,9.31,9.55,9.75,10.58,12.41,13.77,15.31,15.38,15.06,15.47,12.93,8.63,7.79,6.51,5.78,5.82,6.42,6.91,7.45,8.02,7.99,8.82,9.59,10.95,12.64,13.9,15.74,17.15,19.2
