HID,NATIONAL,REGION,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM3,ADM4,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
H1,National,,,,,,,,Адуу,2317.9,2269.53,2239.38,2185.36,2264.93,2254.62,2204.6,2103.5,2078.4,2078.9,1985.4,1991.1,2027.9,1959.5,1960.8,1971,2047.1,2047.1,2102.9,2199.6,2262,2259.3,2200.2,2190.3,2408.9,2684.4,2770.5,2893.2,3059.1,3163.3,2660.8,2191.8,1988.9,1968.9,2005.3,2029.1,2114.8,2239.5,2186.9,2221.3,1920.3,2112.9,2330.43,2619.38,2995.75,3295.34,3635.49,3939.81,3940.09,4214.82,4093.86
H2,National,Western,,,,,,,Адуу,510.88,535.83,540.69,542.67,552.87,522.15,510.44,477.56,458.91,457.39,457.21,463.15,469.73,447.8,448.56,470.03,486.83,505.13,525.66,549.52,562.2,537.2,506.72,488.27,549.1,610.1,633.42,630.89,623.11,598.77,474.11,390.47,313.22,327.62,347.55,363.49,403.31,441.49,431.12,397.56,299.97,332.69,369.46,414.57,478.38,534.4,607.17,676.12,700.21,734.54,729.5
H3,National,Western,Завхан,MN81,Завхан,,Завхан,,Адуу,145.77,149.4,149.04,145.02,145.49,140.52,136.76,126.67,122,118.66,118.5,119.1,121.77,116.94,118.31,120.74,125.75,132.07,140.62,149.19,156.46,151.82,149.58,143.91,168.73,189.49,200.4,204.79,204.99,192.21,139.01,101.87,93.44,94.12,96.1,101.15,113.24,127.21,129.39,124.04,93.4,105.41,116.76,130.13,147.4,163.11,186.18,207.44,222.53,243.68,236.75
H4,National,Western,Завхан,MN81,Улиастай,MN8109,Улиастай,,Адуу,0.69,0.87,0.44,0.56,0.65,0.8,0.93,1.3,0.77,0.69,0.68,0.68,1,1.29,1.23,1.78,0.92,0.92,1.1,1.56,2.45,3.17,3.44,3.36,4.05,4.26,4.31,3.71,2.61,2.39,2.07,1.69,1.47,1.68,1.66,1.55,1.67,1.83,2.07,2.05,1.56,1.87,2.43,3.33,3.58,3.7,4.01,4.65,5.5,6.64,6.36
H5,National,Western,Завхан,MN81,Улиастай,MN8109,"1-р баг, Жинст","1-р баг, Жинст",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,0.54,0.58,0.59,0.66,0.72,0.84,1.14,1.07
H6,National,Western,Завхан,MN81,Улиастай,MN8109,"2-р баг, Жаргалант","2-р баг, Жаргалант",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,0.6,0.57,0.71,0.81,0.87,1.18,1.31,1.38
H7,National,Western,Завхан,MN81,Улиастай,MN8109,"3-р баг, Чигэстэй","3-р баг, Чигэстэй",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.58,0.66,0.8,0.84,0.77,0.83,0.97,0.84
H8,National,Western,Завхан,MN81,Улиастай,MN8109,"4-р баг, Богдын гол","4-р баг, Богдын гол",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.79,0.87,0.71,0.83,1,1.19,1.45,1.25
H9,National,Western,Завхан,MN81,Улиастай,MN8109,"5-р баг, Товцог","5-р баг, Товцог",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,0.54,0.63,0.57,0.5,0.8,1.01,1.1,1.29
H10,National,Western,Завхан,MN81,Улиастай,MN8109,"6-р баг, Өлзийт","6-р баг, Өлзийт",Адуу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.28,0.27,0.32,0.36,0.49,0.46,0.68,0.53
