ID,ADM,REGION,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM3,ADM4
1,"Баг, хороо",,,,,,,
2,Улсын дүн,,,,,,,
3,    Баруун бүс,Western,,,,,,
4,            Завхан,Western,Завхан,MN81,Завхан,,Завхан,
5,                Улиастай,Western,Завхан,MN81,Улиастай,MN8109,Улиастай,
6,"                        1-р баг, Жинст",Western,Завхан,MN81,Улиастай,MN8109,"1-р баг, Жинст","1-р баг, Жинст"
7,"                        2-р баг, Жаргалант",Western,Завхан,MN81,Улиастай,MN8109,"2-р баг, Жаргалант","2-р баг, Жаргалант"
8,"                        3-р баг, Чигэстэй",Western,Завхан,MN81,Улиастай,MN8109,"3-р баг, Чигэстэй","3-р баг, Чигэстэй"
9,"                        4-р баг, Богдын гол",Western,Завхан,MN81,Улиастай,MN8109,"4-р баг, Богдын гол","4-р баг, Богдын гол"
10,"                        5-р баг, Товцог",Western,Завхан,MN81,Улиастай,MN8109,"5-р баг, Товцог","5-р баг, Товцог"
11,"                        6-р баг, Өлзийт",Western,Завхан,MN81,Улиастай,MN8109,"6-р баг, Өлзийт","6-р баг, Өлзийт"
12,                Алдархаан,Western,Завхан,MN81,Алдархаан,MN8119,Алдархаан,
13,"                        1-р баг, Алдар",Western,Завхан,MN81,Алдархаан,MN8119,"1-р баг, Алдар","1-р баг, Алдар"
14,"                        2-р баг, Аргалант",Western,Завхан,MN81,Алдархаан,MN8119,"2-р баг, Аргалант","2-р баг, Аргалант"
15,"                        3-р баг, Богдын гол",Western,Завхан,MN81,Алдархаан,MN8119,"3-р баг, Богдын гол","3-р баг, Богдын гол"
16,"                        4-р баг, Өгөөмөр",Western,Завхан,MN81,Алдархаан,MN8119,"4-р баг, Өгөөмөр","4-р баг, Өгөөмөр"
17,"                        5-р баг, Чигэстэй",Western,Завхан,MN81,Алдархаан,MN8119,"5-р баг, Чигэстэй","5-р баг, Чигэстэй"
18,"                        6-р баг, Мандаат",Western,Завхан,MN81,Алдархаан,MN8119,"6-р баг, Мандаат","6-р баг, Мандаат"
19,                Асгат,Western,Завхан,MN81,Асгат,MN8117,Асгат,
20,"                        1-р баг, Аргалант",Western,Завхан,MN81,Асгат,MN8117,"1-р баг, Аргалант","1-р баг, Аргалант"
21,"                        2-р баг, Суварга",Western,Завхан,MN81,Асгат,MN8117,"2-р баг, Суварга","2-р баг, Суварга"
22,"                        3-р баг, Хайрхан",Western,Завхан,MN81,Асгат,MN8117,"3-р баг, Хайрхан","3-р баг, Хайрхан"
23,                Баянтэс,Western,Завхан,MN81,Баянтэс,MN8116,Баянтэс,
24,"                        1-р баг, Бужир",Western,Завхан,MN81,Баянтэс,MN8116,"1-р баг, Бужир","1-р баг, Бужир"
25,"                        2-р баг, Жавхлан",Western,Завхан,MN81,Баянтэс,MN8116,"2-р баг, Жавхлан","2-р баг, Жавхлан"
26,"                        3-р баг, Зайгал",Western,Завхан,MN81,Баянтэс,MN8116,"3-р баг, Зайгал","3-р баг, Зайгал"
27,"                        4-р баг, Хачиг",Western,Завхан,MN81,Баянтэс,MN8116,"4-р баг, Хачиг","4-р баг, Хачиг"
28,                    Баянхайрхан,Western,Завхан,MN81,Баянхайрхан,MN8118,Баянхайрхан,
29,"                            1-р баг, Наран",Western,Завхан,MN81,Баянхайрхан,MN8118,"1-р баг, Наран","1-р баг, Наран"
30,"                            2-р баг, Асгат",Western,Завхан,MN81,Баянхайрхан,MN8118,"2-р баг, Асгат","2-р баг, Асгат"
31,"                            3-р баг, Минж",Western,Завхан,MN81,Баянхайрхан,MN8118,"3-р баг, Минж","3-р баг, Минж"
32,"                            4-р баг, Төөнт",Western,Завхан,MN81,Баянхайрхан,MN8118,"4-р баг, Төөнт","4-р баг, Төөнт"
33,                    Дөрвөлжин,Western,Завхан,MN81,Дөрвөлжин,MN8128,Дөрвөлжин,
34,"                            1-р баг, Буга",Western,Завхан,MN81,Дөрвөлжин,MN8128,"1-р баг, Буга","1-р баг, Буга"
35,"                            2-р баг, Цогт",Western,Завхан,MN81,Дөрвөлжин,MN8128,"2-р баг, Цогт","2-р баг, Цогт"
36,"                            3-р баг, Тавантолгой",Western,Завхан,MN81,Дөрвөлжин,MN8128,"3-р баг, Тавантолгой","3-р баг, Тавантолгой"
37,"                            4-р баг, Буурал",Western,Завхан,MN81,Дөрвөлжин,MN8128,"4-р баг, Буурал","4-р баг, Буурал"
38,"                            5-р баг, Онц",Western,Завхан,MN81,Дөрвөлжин,MN8128,"5-р баг, Онц","5-р баг, Онц"
39,                    Завханмандал,Western,Завхан,MN81,Завханмандал,MN8127,Завханмандал,
40,"                            1-р баг, Мандал",Western,Завхан,MN81,Завханмандал,MN8127,"1-р баг, Мандал","1-р баг, Мандал"
41,"                            2-р баг, Олонбулаг",Western,Завхан,MN81,Завханмандал,MN8127,"2-р баг, Олонбулаг","2-р баг, Олонбулаг"
42,"                            3-р баг, Олонтүрүү",Western,Завхан,MN81,Завханмандал,MN8127,"3-р баг, Олонтүрүү","3-р баг, Олонтүрүү"
43,"                            4-р баг, Нуга",Western,Завхан,MN81,Завханмандал,MN8127,"4-р баг, Нуга","4-р баг, Нуга"
44,                    Идэр,Western,Завхан,MN81,Идэр,MN8106,Идэр,
45,"                            1-р баг, Мануустай",Western,Завхан,MN81,Идэр,MN8106,"1-р баг, Мануустай","1-р баг, Мануустай"
46,"                            2-р баг, Цэцэрлэг",Western,Завхан,MN81,Идэр,MN8106,"2-р баг, Цэцэрлэг","2-р баг, Цэцэрлэг"
47,"                            3-р баг, Загастай",Western,Завхан,MN81,Идэр,MN8106,"3-р баг, Загастай","3-р баг, Загастай"
