Shape_Leng,Shape_Area,ADM2_EN,ADM2_MN,ADM2_PCODE,ADM2_REF,ADM1_EN,ADM1_MN,ADM1_PCODE
3.01355428,0.388117314,Adaacag,Адаацаг,MN4804,,Dundgovi,Дундговь,MN48
4.36751274,0.860974149,Airag,Айраг,MN4404,,Dornogovi,Дорноговь,MN44
4.739815078,0.567036091,Alag-Erdene,Алаг-Эрдэнэ,MN6704,,Khovsgol,Хөвсгөл,MN67
6.001127734,0.857596022,Aldarxaan,Алдархаан,MN8104,,Zavkhan,Завхан,MN81
7.507774866,2.276333989,Altai,Алтай,MN8204,,Govi-Altai,Говь-Алтай,MN82
2.94248547,0.383758526,Altai,Алтай,MN8304,,Bayan-Olgii,Баян-Өлгий,MN83
5.665697635,1.516920017,Altai,Алтай,MN8404,,Khovd,Ховд,MN84
3.942456098,0.676665985,Altanbulag,Алтанбулаг,MN4104,,To'v,Төв,MN41
3.457148212,0.305336716,Altanbulag,Алтанбулаг,MN4304,,Selenge,Сэлэнгэ,MN43
2.749804491,0.221154521,Altanco'gc,Алтанцөгц,MN8307,Altancogc,Bayan-Olgii,Баян-Өлгий,MN83
4.302514122,0.824440583,Altanshiree,Алтанширээ,MN4407,,Dornogovi,Дорноговь,MN44
3.690525262,0.444904756,Arbulag,Арбулаг,MN6707,,Khovsgol,Хөвсгөл,MN67
2.068892946,0.135498513,Argalant,Аргалант,MN4107,,To'v,Төв,MN41
0.347749065,0.005725548,Arvaixeer,Арвайхээр,MN6201,,Ovorkhangai,Өвөрхангай,MN62
1.314599222,0.09826854,Arxust,Архуст,MN4110,,To'v,Төв,MN41
3.926229242,0.838917514,Asgat,Асгат,MN2204,,Sukhbaatar,Сүхбаатар,MN22
1.355407919,0.070398386,Asgat,Асгат,MN8107,,Zavkhan,Завхан,MN81
4.408333155,0.856843356,Baacagaan,Баацагаан,MN6404,,Bayankhongor,Баянхонгор,MN64
1.243814369,0.07501988,Baganuur,Багануур,MN1101,,Ulaanbaatar,Улаанбаатар,MN11
0.548679857,0.018624512,Bagaxangai,Багахангай,MN1104,,Ulaanbaatar,Улаанбаатар,MN11
0.35734281,0.006473686,Baruun-Urt,Баруун-Урт,MN2201,,Sukhbaatar,Сүхбаатар,MN22
2.578250676,0.452149363,Baruunbayan-Ulaan,Баруунбаян-Улаан,MN6204,,Ovorkhangai,Өвөрхангай,MN62
3.077902702,0.349735142,Baruunbu'ren,Баруунбүрэн,MN4307,Baruunburen,Selenge,Сэлэнгэ,MN43
3.353333547,0.402163155,Baruunturuun,Баруунтуруун,MN8504,,Uvs,Увс,MN85
2.908498183,0.301815137,Bat-O'lzii,Бат-Өлзий,MN6207,Bat-Olzii,Ovorkhangai,Өвөрхангай,MN62
3.067419016,0.421857984,Batcengel,Батцэнгэл,MN6504,,Arxangai,Архангай,MN65
3.455611027,0.598219113,Batnorov,Батноров,MN2304,,Hentii,Хэнтий,MN23
4.719141117,0.859123689,Batshireet,Батширээт,MN2307,,Hentii,Хэнтий,MN23
2.44628704,0.294303085,Batsu'mber,Батсүмбэр,MN4113,Batsumber,To'v,Төв,MN41
3.082006074,0.351690508,Bayan,Баян,MN4116,,To'v,Төв,MN41
2.870727757,0.367463865,Bayan-Adraga,Баян-Адарга,MN2310,,Hentii,Хэнтий,MN23
0.842794477,0.033632746,Bayan-O'ndor,Баян-Өндөр,MN6101,Bayan-Ondor,Orkhon,Орхон,MN61
2.874282532,0.381303967,Bayan-O'ndor,Баян-Өндөр,MN6213,Bayan-Ondor,Ovorkhangai,Өвөрхангай,MN62
7.137516814,1.901003399,Bayan-O'ndor,Баян-Өндөр,MN6419,Bayan-Ondor,Bayankhongor,Баянхонгор,MN64
3.502538406,0.567223436,Bayan-O'njuul,Баян-Өнжүүл,MN4125,Bayan-Onjuul,To'v,Төв,MN41
3.239113882,0.404935595,Bayan-Ovoo,Баян-Овоо,MN2316,,Hentii,Хэнтий,MN23
4.98109132,1.229204854,Bayan-Ovoo,Баян-Овоо,MN4607,,Omnogovi,Өмнөговь,MN46
2.877013228,0.3741579,Bayan-Ovoo,Баян-Овоо,MN6416,,Bayankhongor,Баянхонгор,MN64
4.040597494,0.692700079,Bayan-Uul,Баян-Уул,MN2110,,Dornod,Дорнод,MN21
4.72914123,0.691763928,Bayan-Uul,Баян-Уул,MN8207,,Govi-Altai,Говь-Алтай,MN82
2.919281891,0.380060699,Bayan agt,Баян-Агт,MN6304,,Bulgan,Булган,MN63
2.789954991,0.37189649,Bayanbulag,Баянбулаг,MN6407,,Bayankhongor,Баянхонгор,MN64
3.582214508,0.693045931,Bayancagaan,Баянцагаан,MN4131,,To'v,Төв,MN41
4.155069418,0.636424552,Bayancagaan,Баянцагаан,MN6422,,Bayankhongor,Баянхонгор,MN64
1.329251808,0.06879287,Bayanchandmani,Баянчандмань,MN4137,,To'v,Төв,MN41
2.352214021,0.183208796,Bayancogt,Баянцогт,MN4134,,To'v,Төв,MN41
5.330663077,1.178707238,Bayandalai,Баяндалай,MN4604,,Omnogovi,Өмнөговь,MN46
3.980854204,0.873727533,Bayandelger,Баяндэлгэр,MN2207,,Sukhbaatar,Сүхбаатар,MN22
3.787429151,0.255403639,Bayandelger,Баяндэлгэр,MN4119,,To'v,Төв,MN41
4.319139443,0.779482335,Bayandun,Баяндун,MN2104,,Dornod,Дорнод,MN21
0.353730217,0.002876311,Bayangol,Баянгол,MN1107,,Ulaanbaatar,Улаанбаатар,MN11
2.72883483,0.248347903,Bayangol,Баянгол,MN4310,,Selenge,Сэлэнгэ,MN43
2.895483951,0.405886813,Bayangol,Баянгол,MN6210,,Ovorkhangai,Өвөрхангай,MN62
3.495447192,0.530789202,Bayangovi,Баянговь,MN6410,,Bayankhongor,Баянхонгор,MN64
2.758002565,0.339509643,Bayanjargalan,Баянжаргалан,MN4122,,To'v,Төв,MN41
2.64274201,0.36790171,Bayanjargalan,Баянжаргалан,MN4807,,Dundgovi,Дундговь,MN48
4.760081768,1.346965554,Bayanlig,Баянлиг,MN6413,,Bayankhongor,Баянхонгор,MN64
2.407718835,0.301834655,Bayanmo'nx,Баянмөнх,MN2313,Bayanmonx,Hentii,Хэнтий,MN23
1.775182871,0.122032561,Bayannuur,Баяннуур,MN6307,,Bulgan,Булган,MN63
2.600648187,0.286112131,Bayannuur,Баяннуур,MN8310,,Bayan-Olgii,Баян-Өлгий,MN83
1.570176882,0.105301381,Bayantal,Баянтал,MN4204,,Govisumber,Говьсүмбэр,MN42
5.048698804,0.548869313,Bayantes,Баянтэс,MN8110,,Zavkhan,Завхан,MN81
