Статистик үзүүлэлт,Засаг захиргааны нэгж,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Даатгалд хамрагдсан өрх,Улсын дүн,"6,977.","10,909.","15,988.","19,445.","13,963.","10,317.","18,738.","24,148.","33,718.","32,337."
Даатгалд хамрагдсан өрх,Баруун бүс,"3,236.","4,891.","5,646.","6,311.","3,588.","2,795.","6,613.","6,859.","9,723.","10,494."
Даатгалд хамрагдсан өрх,    Завхан,537.,907.,"1,171.","1,334.",852.,539.,918.,"1,553.","2,108.","2,450."
Даатгалд хамрагдсан өрх,        Улиастай,14.,41.,25.,20.,13.,4.,1.,18.,55.,51.
Даатгалд хамрагдсан өрх,        Алдархаан,27.,13.,11.,120.,61.,53.,159.,131.,163.,204.
Даатгалд хамрагдсан өрх,        Асгат,18.,20.,29.,15.,9.,4.,,9.,23.,36.
Даатгалд хамрагдсан өрх,        Баянтэс,2.,30.,17.,45.,22.,3.,49.,72.,132.,192.
Даатгалд хамрагдсан өрх,            Баянхайрхан,18.,40.,58.,20.,21.,,20.,54.,78.,67.
Даатгалд хамрагдсан өрх,            Дөрвөлжин,102.,145.,227.,113.,111.,80.,133.,110.,139.,119.
Даатгалд хамрагдсан өрх,            Завханмандал,33.,66.,74.,80.,45.,43.,26.,46.,72.,69.
Даатгалд хамрагдсан өрх,            Идэр,14.,38.,20.,21.,62.,63.,90.,119.,118.,106.
Даатгалд хамрагдсан өрх,            Их-Уул,53.,12.,49.,31.,13.,10.,5.,36.,62.,82.
Даатгалд хамрагдсан өрх,            Нөмрөг,11.,9.,40.,67.,10.,5.,20.,69.,83.,91.
Даатгалд хамрагдсан өрх,            Отгон,11.,19.,13.,38.,30.,12.,4.,6.,133.,215.
Даатгалд хамрагдсан өрх,            Сантмаргац,21.,45.,58.,70.,65.,35.,50.,87.,67.,120.
Даатгалд хамрагдсан өрх,            Сонгино,13.,46.,39.,24.,10.,5.,14.,86.,79.,91.
Даатгалд хамрагдсан өрх,        Тосонцэнгэл,24.,40.,43.,19.,31.,8.,12.,91.,114.,152.
Даатгалд хамрагдсан өрх,            Түдэвтэй,19.,50.,61.,66.,38.,40.,54.,95.,98.,115.
Даатгалд хамрагдсан өрх,            Тэлмэн,17.,11.,35.,34.,18.,9.,28.,80.,63.,58.
Даатгалд хамрагдсан өрх,            Тэс,1.,12.,18.,56.,48.,15.,63.,68.,84.,101.
Даатгалд хамрагдсан өрх,            Ургамал,50.,72.,58.,91.,55.,40.,53.,100.,99.,67.
Даатгалд хамрагдсан өрх,            Цагаанхайрхан,10.,29.,54.,76.,52.,17.,32.,41.,82.,101.
Даатгалд хамрагдсан өрх,            Цагаанчулуут,17.,8.,10.,44.,16.,2.,1.,30.,41.,38.
Даатгалд хамрагдсан өрх,            Цэцэн-Уул,27.,44.,87.,81.,39.,35.,29.,77.,84.,95.
Даатгалд хамрагдсан өрх,            Шилүүстэй,18.,49.,45.,39.,24.,13.,6.,22.,39.,50.
Даатгалд хамрагдсан өрх,            Эрдэнэхайрхан,14.,24.,48.,40.,42.,24.,22.,64.,105.,88.
Даатгалд хамрагдсан өрх,        Яруу,3.,44.,52.,124.,17.,19.,47.,42.,95.,142.
Даатгалд хамрагдсан өрх,    Говь-Алтай,945.,"1,116.","1,321.","1,332.",610.,357.,413.,"1,337.","1,877.","1,953."
Даатгалд хамрагдсан өрх,        Есөнбулаг,24.,14.,13.,31.,13.,13.,61.,42.,86.,106.
Даатгалд хамрагдсан өрх,        Алтай,34.,66.,45.,12.,1.,3.,,21.,34.,41.
Даатгалд хамрагдсан өрх,        Баян-Уул,60.,51.,54.,23.,21.,28.,11.,124.,102.,99.
Даатгалд хамрагдсан өрх,        Бигэр,28.,103.,75.,108.,6.,10.,14.,58.,74.,63.
Даатгалд хамрагдсан өрх,            Бугат,82.,121.,141.,117.,49.,27.,38.,34.,120.,131.
Даатгалд хамрагдсан өрх,            Дарви,19.,15.,35.,22.,47.,21.,36.,60.,60.,58.
Даатгалд хамрагдсан өрх,            Дэлгэр,65.,18.,61.,78.,28.,39.,29.,125.,194.,219.
Даатгалд хамрагдсан өрх,            Жаргалан,93.,83.,131.,74.,69.,41.,67.,129.,139.,147.
Даатгалд хамрагдсан өрх,            Тайшир,21.,28.,11.,47.,3.,2.,14.,66.,46.,69.
Даатгалд хамрагдсан өрх,            Тонхил,133.,184.,289.,156.,16.,9.,2.,62.,82.,55.
Даатгалд хамрагдсан өрх,            Төгрөг,15.,22.,6.,43.,7.,11.,2.,74.,83.,90.
Даатгалд хамрагдсан өрх,            Халиун,25.,37.,24.,8.,7.,1.,4.,14.,82.,99.
Даатгалд хамрагдсан өрх,            Хөхморьт,77.,97.,23.,44.,16.,9.,2.,76.,96.,104.
Даатгалд хамрагдсан өрх,        Цогт,62.,35.,2.,63.,30.,5.,23.,140.,154.,125.
Даатгалд хамрагдсан өрх,            Цээл,54.,23.,43.,43.,44.,19.,9.,66.,64.,99.
Даатгалд хамрагдсан өрх,            Чандмань,55.,121.,202.,200.,157.,80.,70.,83.,182.,137.
Даатгалд хамрагдсан өрх,            Шарга,45.,14.,13.,61.,21.,9.,6.,85.,88.,87.
Даатгалд хамрагдсан өрх,            Эрдэнэ,53.,84.,153.,202.,75.,30.,25.,78.,191.,224.
Даатгалд хамрагдсан өрх,    Баян-Өлгий,0.,0.,369.,514.,381.,242.,558.,767.,"1,230.","1,323."
Даатгалд хамрагдсан өрх,        Өлгий,,,,6.,6.,,6.,7.,9.,6.
Даатгалд хамрагдсан өрх,        Алтай,,,95.,150.,73.,70.,46.,81.,115.,128.
Даатгалд хамрагдсан өрх,        Алтанцөгц,,,13.,30.,0.,1.,20.,50.,60.,87.
Даатгалд хамрагдсан өрх,        Баяннуур,,,46.,20.,6.,2.,68.,29.,54.,88.
Даатгалд хамрагдсан өрх,            Бугат,,,1.,24.,15.,2.,6.,18.,41.,66.
Даатгалд хамрагдсан өрх,            Булган,,,84.,44.,6.,5.,20.,40.,44.,54.
Даатгалд хамрагдсан өрх,            Буянт,,,15.,44.,105.,104.,117.,67.,144.,145.
Даатгалд хамрагдсан өрх,            Дэлүүн,,,41.,9.,9.,4.,8.,77.,110.,115.
Даатгалд хамрагдсан өрх,            Ногооннуур,,,25.,27.,0.,,26.,49.,119.,110.
Даатгалд хамрагдсан өрх,            Сагсай,,,22.,4.,21.,2.,49.,54.,74.,70.
Даатгалд хамрагдсан өрх,            Толбо,,,8.,105.,26.,12.,52.,34.,64.,86.
Даатгалд хамрагдсан өрх,            Улаанхус,,,9.,3.,3.,2.,42.,83.,113.,152.
Даатгалд хамрагдсан өрх,        Цэнгэл,,,10.,48.,111.,38.,98.,178.,283.,216.
Даатгалд хамрагдсан өрх,    Ховд,0.,231.,456.,485.,335.,256.,"1,586.",968.,"1,662.","1,933."
Даатгалд хамрагдсан өрх,        Жаргалант,,,6.,49.,6.,,38.,16.,66.,20.
Даатгалд хамрагдсан өрх,        Алтай,,,24.,13.,9.,15.,66.,34.,75.,68.
Даатгалд хамрагдсан өрх,        Булган,,18.,16.,23.,0.,,98.,30.,58.,75.
Даатгалд хамрагдсан өрх,        Буянт,,24.,68.,25.,7.,2.,46.,41.,105.,117.
Даатгалд хамрагдсан өрх,            Дарви,,22.,68.,56.,33.,20.,49.,50.,83.,102.
Даатгалд хамрагдсан өрх,            Дөргөн,,12.,18.,54.,51.,56.,149.,84.,140.,131.
Даатгалд хамрагдсан өрх,            Дуут,,,1.,6.,11.,3.,70.,41.,57.,62.
Даатгалд хамрагдсан өрх,            Зэрэг,,7.,44.,71.,24.,9.,51.,39.,140.,148.
Даатгалд хамрагдсан өрх,            Манхан,,37.,65.,55.,63.,46.,335.,181.,217.,216.
Даатгалд хамрагдсан өрх,            Мөнххайрхан,,5.,15.,2.,31.,13.,90.,49.,114.,127.
Даатгалд хамрагдсан өрх,            Мөст,,25.,9.,11.,5.,2.,101.,37.,73.,90.
Даатгалд хамрагдсан өрх,            Мянгад,,33.,44.,21.,7.,36.,148.,33.,100.,153.
Даатгалд хамрагдсан өрх,            Үенч,,1.,13.,5.,5.,2.,40.,27.,65.,118.
Даатгалд хамрагдсан өрх,        Ховд,,15.,12.,13.,15.,5.,57.,32.,82.,98.
Даатгалд хамрагдсан өрх,            Цэцэг,,1.,25.,30.,20.,7.,42.,77.,61.,67.
Даатгалд хамрагдсан өрх,            Чандмань,,29.,24.,47.,42.,30.,151.,154.,138.,252.
Даатгалд хамрагдсан өрх,            Эрдэнэбүрэн,,2.,4.,4.,6.,10.,55.,43.,88.,89.
Даатгалд хамрагдсан өрх,    Увс,"1,754.","2,637.","2,329.","2,646.","1,410.","1,401.","3,138.","2,234.","2,846.","2,835."
Даатгалд хамрагдсан өрх,        Улаангом,25.,20.,44.,4.,6.,2.,91.,165.,85.,52.
Даатгалд хамрагдсан өрх,        Баруунтуруун,115.,134.,252.,240.,143.,146.,144.,141.,119.,147.
Даатгалд хамрагдсан өрх,        Бөхмөрөн,147.,164.,110.,124.,40.,43.,155.,153.,140.,138.
Даатгалд хамрагдсан өрх,        Давст,67.,109.,85.,85.,29.,20.,107.,77.,101.,101.
Даатгалд хамрагдсан өрх,            Завхан,30.,48.,45.,112.,20.,31.,71.,111.,145.,143.
Даатгалд хамрагдсан өрх,            Зүүнговь,62.,121.,49.,84.,56.,35.,175.,116.,159.,140.
Даатгалд хамрагдсан өрх,            Зүүнхангай,44.,55.,71.,39.,70.,29.,88.,44.,126.,103.
Даатгалд хамрагдсан өрх,            Малчин,60.,29.,43.,48.,11.,5.,64.,100.,81.,50.
Даатгалд хамрагдсан өрх,            Наранбулаг,116.,247.,255.,288.,245.,244.,484.,405.,374.,315.
Даатгалд хамрагдсан өрх,            Өлгий,49.,61.,18.,34.,17.,25.,99.,59.,76.,185.
Даатгалд хамрагдсан өрх,            Өмнөговь,161.,149.,139.,332.,32.,134.,394.,178.,315.,315.
Даатгалд хамрагдсан өрх,            Өндөрхангай,414.,670.,648.,662.,455.,442.,556.,61.,132.,109.
Даатгалд хамрагдсан өрх,            Сагил,38.,116.,104.,86.,24.,19.,152.,129.,162.,156.
Даатгалд хамрагдсан өрх,        Тариалан,143.,287.,235.,138.,133.,32.,182.,104.,157.,188.
Даатгалд хамрагдсан өрх,            Түргэн,62.,173.,87.,43.,19.,54.,93.,100.,127.,115.
Даатгалд хамрагдсан өрх,            Тэс,41.,45.,24.,17.,7.,,47.,102.,197.,158.
Даатгалд хамрагдсан өрх,            Ховд,91.,109.,40.,82.,20.,32.,70.,100.,125.,140.
Даатгалд хамрагдсан өрх,            Хяргас,12.,44.,13.,45.,19.,38.,34.,21.,122.,149.
Даатгалд хамрагдсан өрх,            Цагаанхайрхан,77.,56.,67.,183.,64.,70.,132.,68.,103.,131.
Даатгалд хамрагдсан өрх,Хангайн бүс,"1,958.","3,328.","6,910.","7,977.","6,354.","4,262.","6,062.","9,488.","12,283.","10,170."
Даатгалд хамрагдсан өрх,    Орхон,0.,0.,35.,80.,12.,19.,12.,37.,36.,25.
Даатгалд хамрагдсан өрх,        Баян-Өндөр,,,29.,67.,11.,6.,10.,35.,14.,16.
Даатгалд хамрагдсан өрх,        Жаргалант,,,6.,13.,1.,13.,2.,2.,22.,9.
Даатгалд хамрагдсан өрх,    Өвөрхангай,0.,128.,759.,549.,500.,269.,742.,916.,"1,382.",975.
Даатгалд хамрагдсан өрх,        Арвайхээр,,8.,9.,6.,18.,9.,36.,23.,80.,53.
Даатгалд хамрагдсан өрх,        Баруунбаян-Улаан,,5.,82.,86.,28.,40.,96.,47.,73.,49.
Даатгалд хамрагдсан өрх,        Бат-Өлзий,,10.,30.,17.,14.,5.,45.,44.,132.,83.
Даатгалд хамрагдсан өрх,        Баянгол,,12.,53.,7.,12.,7.,32.,5.,14.,3.
Даатгалд хамрагдсан өрх,            Баян-Өндөр,,1.,15.,44.,45.,31.,25.,43.,70.,28.
Даатгалд хамрагдсан өрх,            Богд,,5.,33.,46.,29.,4.,12.,108.,206.,193.
Даатгалд хамрагдсан өрх,            Бүрд,,4.,,21.,14.,14.,29.,80.,106.,73.
Даатгалд хамрагдсан өрх,            Гучин-Ус,,4.,80.,54.,49.,20.,49.,64.,73.,65.
Даатгалд хамрагдсан өрх,            Есөн зүйл,,10.,19.,3.,2.,4.,14.,21.,49.,37.
Даатгалд хамрагдсан өрх,            Зүүнбаян-Улаан,,18.,72.,4.,6.,7.,15.,53.,54.,46.
Даатгалд хамрагдсан өрх,            Нарийнтээл,,2.,13.,15.,14.,13.,61.,96.,105.,38.
Даатгалд хамрагдсан өрх,            Өлзийт,,9.,79.,76.,39.,44.,39.,40.,63.,47.
Даатгалд хамрагдсан өрх,            Сант,,1.,51.,29.,13.,8.,49.,62.,80.,136.
Даатгалд хамрагдсан өрх,        Тарагт,,23.,79.,45.,27.,20.,25.,39.,35.,29.
Даатгалд хамрагдсан өрх,            Төгрөг,,6.,26.,9.,25.,,9.,27.,20.,14.
Даатгалд хамрагдсан өрх,            Уянга,,2.,40.,55.,114.,33.,118.,90.,44.,26.
Даатгалд хамрагдсан өрх,            Хайрхандулаан,,2.,4.,8.,2.,5.,58.,24.,88.,14.
Даатгалд хамрагдсан өрх,            Хархорин,,5.,43.,15.,24.,3.,18.,33.,68.,37.
Даатгалд хамрагдсан өрх,            Хужирт,,1.,31.,9.,25.,2.,12.,17.,22.,4.
Даатгалд хамрагдсан өрх,    Булган,75.,170.,272.,469.,533.,258.,782.,"1,754.","1,777.","1,564."
Даатгалд хамрагдсан өрх,        Булган,6.,23.,8.,47.,53.,20.,46.,70.,60.,23.
Даатгалд хамрагдсан өрх,        Баян-Агт,12.,49.,61.,79.,80.,82.,125.,207.,202.,170.
Даатгалд хамрагдсан өрх,        Баяннуур,3.,6.,8.,22.,14.,11.,27.,98.,95.,113.
Даатгалд хамрагдсан өрх,        Бугат,2.,1.,1.,13.,25.,4.,24.,65.,53.,46.
Даатгалд хамрагдсан өрх,            Бүрэгхангай,,,2.,43.,48.,29.,47.,191.,146.,146.
Даатгалд хамрагдсан өрх,            Гурванбулаг,3.,7.,13.,40.,45.,23.,88.,75.,119.,80.
Даатгалд хамрагдсан өрх,            Дашинчилэн,10.,9.,10.,13.,21.,9.,46.,144.,99.,70.
Даатгалд хамрагдсан өрх,            Могод,12.,,10.,4.,12.,,8.,71.,96.,103.
Даатгалд хамрагдсан өрх,            Орхон,2.,17.,48.,42.,43.,4.,70.,115.,107.,97.
Даатгалд хамрагдсан өрх,            Рашаант,3.,,14.,35.,41.,36.,84.,73.,64.,42.
Даатгалд хамрагдсан өрх,            Сайхан,6.,7.,15.,21.,33.,7.,43.,173.,146.,122.
Даатгалд хамрагдсан өрх,            Сэлэнгэ,1.,9.,10.,8.,6.,,21.,31.,32.,91.
Даатгалд хамрагдсан өрх,            Тэшиг,,,9.,7.,12.,,30.,80.,109.,79.
Даатгалд хамрагдсан өрх,        Хангал,5.,41.,46.,52.,63.,10.,44.,119.,108.,109.
Даатгалд хамрагдсан өрх,            Хишиг-Өндөр,10.,1.,5.,10.,24.,3.,24.,76.,96.,91.
Даатгалд хамрагдсан өрх,            Хутаг-Өндөр,,,12.,33.,13.,20.,55.,166.,245.,182.
Даатгалд хамрагдсан өрх,    Баянхонгор,"1,883.","2,613.","3,579.","3,603.","2,799.","2,630.","3,016.","3,706.","4,766.","3,759."
Даатгалд хамрагдсан өрх,        Баянхонгор,11.,41.,71.,86.,40.,11.,80.,30.,63.,34.
Даатгалд хамрагдсан өрх,        Баацагаан,18.,132.,150.,181.,107.,61.,108.,212.,366.,236.
Даатгалд хамрагдсан өрх,        Баянбулаг,49.,84.,29.,48.,27.,28.,18.,28.,86.,83.
Даатгалд хамрагдсан өрх,        Баянговь,189.,143.,196.,210.,232.,171.,113.,157.,289.,109.
Даатгалд хамрагдсан өрх,            Баянлиг,98.,137.,171.,191.,168.,120.,137.,173.,188.,215.
Даатгалд хамрагдсан өрх,            Баян-Овоо,25.,189.,172.,174.,159.,190.,125.,170.,211.,133.
Даатгалд хамрагдсан өрх,            Баян-Өндөр,33.,2.,42.,104.,41.,71.,98.,180.,228.,145.
Даатгалд хамрагдсан өрх,            Баянцагаан,60.,115.,232.,254.,193.,255.,350.,367.,553.,322.
Даатгалд хамрагдсан өрх,            Богд,77.,107.,166.,146.,135.,111.,177.,178.,259.,174.
Даатгалд хамрагдсан өрх,            Бөмбөгөр,88.,86.,208.,206.,100.,86.,110.,95.,155.,161.
Даатгалд хамрагдсан өрх,            Бууцагаан,89.,122.,218.,201.,100.,234.,461.,429.,392.,403.
Даатгалд хамрагдсан өрх,            Галуут,193.,297.,303.,307.,226.,208.,156.,303.,283.,195.
Даатгалд хамрагдсан өрх,            Гурванбулаг,18.,26.,50.,68.,28.,73.,30.,93.,158.,184.
Даатгалд хамрагдсан өрх,        Жаргалант,38.,64.,85.,53.,51.,37.,38.,56.,88.,120.
Даатгалд хамрагдсан өрх,            Жинст,67.,143.,318.,332.,333.,268.,263.,261.,314.,332.
Даатгалд хамрагдсан өрх,            Заг,108.,153.,158.,135.,123.,67.,77.,138.,184.,164.
Даатгалд хамрагдсан өрх,            Өлзийт,202.,305.,428.,354.,247.,177.,158.,245.,238.,242.
Даатгалд хамрагдсан өрх,            Хүрээмарал,282.,199.,244.,258.,211.,172.,215.,229.,244.,113.
Даатгалд хамрагдсан өрх,            Шинэжинст,169.,175.,176.,147.,136.,106.,99.,182.,254.,175.
Даатгалд хамрагдсан өрх,            Эрдэнэцогт,69.,93.,162.,148.,142.,184.,203.,180.,213.,219.
Даатгалд хамрагдсан өрх,    Архангай,0.,0.,"2,061.","2,896.","2,382.",602.,"1,305.","1,474.","1,897.","1,805."
Даатгалд хамрагдсан өрх,        Эрдэнэбулган,,,124.,114.,174.,2.,45.,63.,88.,58.
Даатгалд хамрагдсан өрх,        Батцэнгэл,,,190.,229.,263.,13.,93.,82.,94.,100.
Даатгалд хамрагдсан өрх,        Булган,,,77.,134.,70.,22.,70.,54.,106.,112.
Даатгалд хамрагдсан өрх,        Жаргалант,,,30.,220.,35.,,28.,8.,39.,53.
Даатгалд хамрагдсан өрх,            Ихтамир,,,208.,154.,115.,4.,48.,47.,94.,70.
Даатгалд хамрагдсан өрх,            Өгийнуур,,,154.,130.,163.,21.,107.,66.,136.,65.
Даатгалд хамрагдсан өрх,            Өлзийт,,,140.,189.,110.,58.,82.,157.,180.,149.
Даатгалд хамрагдсан өрх,            Өндөр-Улаан,,,129.,111.,121.,85.,83.,65.,79.,108.
Даатгалд хамрагдсан өрх,            Тариат,,,59.,240.,226.,26.,75.,65.,67.,73.
Даатгалд хамрагдсан өрх,            Төвшрүүлэх,,,147.,184.,79.,130.,49.,64.,119.,120.
Даатгалд хамрагдсан өрх,            Хайрхан,,,154.,242.,292.,129.,210.,114.,144.,153.
Даатгалд хамрагдсан өрх,            Хангайн бүс,,,56.,115.,46.,,55.,64.,65.,65.
Даатгалд хамрагдсан өрх,            Хашаат,,,149.,136.,139.,13.,40.,102.,111.,63.
Даатгалд хамрагдсан өрх,        Хотонт,,,133.,164.,56.,12.,103.,167.,192.,209.
Даатгалд хамрагдсан өрх,            Цахир,,,57.,86.,54.,9.,10.,54.,39.,57.
Даатгалд хамрагдсан өрх,            Цэнхэр,,,99.,178.,122.,18.,31.,72.,87.,115.
Даатгалд хамрагдсан өрх,            Цэцэрлэг,,,37.,111.,134.,33.,35.,68.,89.,82.
Даатгалд хамрагдсан өрх,            Чулуут,,,64.,119.,74.,19.,19.,43.,80.,53.
