"МОНГОЛ УЛСАД ОРШИН СУУГАА ХҮН АМЫН ТОО, баг/хороо, хот/хөдөөгөөр
",,,,,,
"Баг, хороо",2014,2015,2016,2017,2018,2019
Улсын дүн,"2,937,927.","2,990,242.","3,063,568.","3,131,750.","3,186,347.","3,197,020."
    Баруун бүс,"376,711.","386,969.","393,594.","401,102.","407,197.","404,713."
            Завхан,"69,632.","69,641.","70,852.","72,104.","73,088.","72,307."
                Улиастай,"15,805.","15,938.","15,756.","16,265.","16,696.","16,232."
"                        1-р баг, Жинст","3,303.","3,364.","3,386.","3,484.","3,550.","3,517."
"                        2-р баг, Жаргалант","2,948.","3,008.","2,969.","2,983.","3,094.","2,982."
"                        3-р баг, Чигэстэй","2,582.","2,545.","2,613.","2,642.","2,673.","2,546."
"                        4-р баг, Богдын гол","3,291.","3,281.","3,127.","3,297.","3,407.","3,299."
"                        5-р баг, Товцог","2,204.","2,225.","2,188.","2,306.","2,344.","2,279."
"                        6-р баг, Өлзийт","1,477.","1,515.","1,473.","1,553.","1,628.","1,609."
                Алдархаан,"2,697.","2,714.","2,816.","2,883.","2,913.","2,924."
"                        1-р баг, Алдар",280.,283.,297.,324.,327.,331.
"                        2-р баг, Аргалант",387.,389.,383.,374.,368.,383.
"                        3-р баг, Богдын гол",277.,285.,304.,315.,311.,319.
"                        4-р баг, Өгөөмөр",671.,675.,713.,707.,729.,720.
"                        5-р баг, Чигэстэй",235.,244.,240.,278.,286.,283.
"                        6-р баг, Мандаат",847.,838.,879.,885.,892.,888.
                Асгат,952.,938.,952.,969.,981.,"1,012."
"                        1-р баг, Аргалант",531.,534.,538.,546.,565.,331.
"                        2-р баг, Суварга",421.,404.,414.,423.,416.,372.
"                        3-р баг, Хайрхан",,,,,,309.
                Баянтэс,"2,574.","2,544.","2,587.","2,624.","2,632.","2,647."
"                        1-р баг, Бужир",749.,751.,759.,780.,751.,741.
"                        2-р баг, Жавхлан",704.,681.,699.,713.,727.,718.
"                        3-р баг, Зайгал",510.,508.,533.,524.,520.,548.
"                        4-р баг, Хачиг",611.,604.,596.,607.,634.,640.
                    Баянхайрхан,"1,732.","1,720.","1,780.","1,787.","1,838.","1,800."
"                            1-р баг, Асгат",518.,506.,524.,519.,528.,412.
"                            2-р баг, Минж",390.,398.,432.,430.,434.,380.
"                            3-р баг, Наран",391.,376.,379.,365.,381.,522.
"                            4-р баг, Төөнт",433.,440.,445.,473.,495.,486.
                    Дөрвөлжин,"2,038.","2,051.","2,153.","2,208.","2,236.","2,267."
"                            1-р баг, Буга",463.,428.,469.,477.,471.,462.
"                            2-р баг, Цогт",530.,556.,560.,587.,606.,625.
"                            3-р баг, Тавантолгой",352.,350.,369.,375.,375.,373.
"                            4-р баг, Буурал",417.,435.,460.,462.,472.,490.
"                            5-р баг, Онц",276.,282.,295.,307.,312.,317.
                    Завханмандал,"1,059.","1,050.","1,095.","1,117.","1,110.","1,068."
"                            1-р баг, Мандал",263.,275.,277.,290.,287.,283.
"                            2-р баг, Олонбулаг",263.,264.,266.,255.,257.,262.
"                            3-р баг, Олонтүрүү",208.,211.,223.,227.,230.,220.
"                            4-р баг, Нуга",325.,300.,329.,345.,336.,303.
                    Идэр,"2,463.","2,449.","2,481.","2,514.","2,535.","2,511."
"                            1-р баг, Мануустай",675.,679.,696.,680.,703.,708.
"                            2-р баг, Цэцэрлэг",543.,539.,550.,605.,584.,556.
"                            3-р баг, Загастай",568.,567.,559.,549.,566.,553.
"                            4-р баг, Дархан-Уул",677.,664.,676.,680.,682.,694.
                    Их-Уул,"6,067.","6,068.","6,238.","6,348.","6,446.","6,435."
"                            1-р баг, Баян-Ухаа","1,199.","1,176.","1,170.","1,123.","1,081.","1,077."
"                            2-р баг, Үржил",743.,743.,764.,791.,819.,829.
"                            3-р баг, Хуягт","1,027.","1,048.","1,088.","1,115.","1,137.","1,130."
"                            4-р баг, Хонгор",900.,884.,930.,"1,005.","1,025.","1,002."
"                            5-р баг, Цэцүүх","1,037.","1,049.","1,069.","1,084.","1,096.","1,085."
"                            6-р баг, Зарт","1,161.","1,168.","1,217.","1,230.","1,288.","1,312."
                    Нөмрөг,"1,799.","1,753.","1,875.","1,874.","1,888.","1,891."
