Index,Улс,National,Region,Аймаг,ProvinceName,Сум,Soum,zCode,Latitude,Longitude,neighbor1,neighbor2,neighbor3,neighbor4,neighbor5,neighbor6,neighbor7,neighbor8,neighbor9
1,Улсын дүн,National,,,,,,,,,,,,,,,,,
2,Баруун бүс,National,,,,,,,,,,,,,,,,,
3,Завхан,National,Western,Завхан,Zavhan,,,,,,,,,,,,,,
4,Улиастай,National,Western,Завхан,Zavhan,Улиастай,Uliastai,81090,47.73172015,96.85606955,81190,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,Алдархаан,National,Western,Завхан,Zavhan,Алдархаан,Aldarhaan,81190,47.63988925,96.53313165,81130,81060,81070,81120,81090,NaN,NaN,NaN,NaN
6,Асгат,National,Western,Завхан,Zavhan,Асгат,Asgat,81170,49.4066719,96.6084909,81160,81180,67320,NaN,NaN,NaN,NaN,NaN,NaN
7,Баянтэс,National,Western,Завхан,Zavhan,Баянтэс,Bayantes,81160,49.70180735,96.36022565,81250,81170,81180,85020,67320,NaN,NaN,NaN,NaN
8,Баянхайрхан,National,Western,Завхан,Zavhan,Баянхайрхан,Bayanhairhan,81180,49.3807191,96.3259792,81250,81160,81170,81230,81210,67320,85010,NaN,NaN
9,Дөрвөлжин,National,Western,Завхан,Zavhan,Дөрвөлжин,Dorvoljin,81280,47.64824795,95.0011612,81290,81270,81240,81130,81190,82150,82180,84030,84020
10,Завханмандал,National,Western,Завхан,Zavhan,Завханмандал,Zavhanmandal,81270,48.32438525,95.10855675,81290,81280,81240,81260,81220,NaN,NaN,NaN,NaN
11,Идэр,National,Western,Завхан,Zavhan,Идэр,Ider,81060,48.21905385,97.37515205,81050,81030,81070,81190,81130,NaN,NaN,NaN,NaN
12,Их-Уул,National,Western,Завхан,Zavhan,Их-Уул,Ih-Uul,81010,48.7197909,98.79326825,81030,67320,67300,67220,67240,67250,67270,NaN,NaN
