SID,NATIONAL,REGION,ADM1,ADM1_PCODE,ADM2,ADM2_PCODE,ADM3,ADM4,TYPE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
S1,National,,,,,,,,Хонь,13311.7,13420.16,13715.84,14072.87,14503.69,14458.32,13906.3,13430.2,14152.7,14400.2,14230.7,14714,14954.8,14110.4,13391.2,13248.8,13233.8,13233.8,13450.8,14265.2,15083,14721,14657,13786.6,13786.6,13718.6,13560.6,14165.6,14694.2,15191.3,13876.3,11937.3,10636.6,10756.4,11686.4,12884.5,14815.1,16990.1,18362.3,19274.7,14480.4,15668.5,18141.36,20066.43,23214.78,24943.13,27856.6,30109.89,30554.8,32267.27,30049.43
S2,National,Western,,,,,,,Хонь,4392.71,4582.04,4614.59,4765.16,4671.71,4619.97,4528.01,4325.99,4510.47,4619.89,4669.82,4694.25,4736.83,4529.44,4244.57,4424.36,4471.58,4591.39,4659.81,4865.87,5111.78,4877.24,4855.85,4715.43,4816.07,4860.4,4693.63,4758.2,4593.48,4537.26,4155.98,3503.77,2880.81,3082.22,3495.22,3862.59,4540.81,5066.83,5008.19,4632.99,3086.32,3414.71,4034.52,4549.41,5318.11,5758.53,6417.55,6903.22,6606.93,6729.71,6431.83
S3,National,Western,Завхан,MN81,Завхан,,Завхан,,Хонь,1104.76,1167.25,1203.71,1198.42,1170.69,1218.26,1246.36,1143.64,1236.45,1252.92,1300.65,1231.12,1301.24,1240.33,1142.71,1142.33,1159.82,1195.17,1203.14,1303.87,1402.85,1367.33,1358.52,1257.03,1325.74,1329.28,1320.75,1347.6,1353.71,1263.92,1050.55,757.91,714.97,773.6,903.13,1026.4,1251.47,1465.35,1554.64,1461.99,859.07,979.64,1147.88,1280.01,1464.42,1562.65,1730.2,1837.73,1827.46,1950.94,1799.76
S4,National,Western,Завхан,MN81,Улиастай,MN8109,Улиастай,,Хонь,1.83,1.64,1.5,1.57,4.56,7.6,8.2,8.58,8.36,8.41,8.51,11.39,9.33,11.57,12.26,16.34,10.42,11.45,12.46,19.63,34.24,36.77,48.98,52.27,63.31,66.11,63.39,62,47.24,41.68,39.84,25.6,21.76,25.82,27.72,27.74,35.5,42.94,52.99,51.47,23.94,37.81,33.08,39.02,46.76,50.7,54.16,53.77,56.79,66.69,62.55
S5,National,Western,Завхан,MN81,Улиастай,MN8109,"1-р баг, Жинст","1-р баг, Жинст",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.43,7.65,9.11,9.22,10.63,9.59,9.42,10.95,10.4
S6,National,Western,Завхан,MN81,Улиастай,MN8109,"2-р баг, Жаргалант","2-р баг, Жаргалант",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.37,6.98,8.56,9.02,11.33,9.36,10.89,12.32,11.93
S7,National,Western,Завхан,MN81,Улиастай,MN8109,"3-р баг, Чигэстэй","3-р баг, Чигэстэй",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.42,9.88,11.08,13.16,13.05,12.75,13.3,13.89,13.52
S8,National,Western,Завхан,MN81,Улиастай,MN8109,"4-р баг, Богдын гол","4-р баг, Богдын гол",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.97,5.9,7.86,7.69,7.09,8.16,7.15,9.83,8.58
S9,National,Western,Завхан,MN81,Улиастай,MN8109,"5-р баг, Товцог","5-р баг, Товцог",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.79,5.96,7.3,8.68,8.49,9.61,11.82,14.32,12.83
S10,National,Western,Завхан,MN81,Улиастай,MN8109,"6-р баг, Өлзийт","6-р баг, Өлзийт",Хонь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.65,2.85,2.94,3.57,4.3,4.22,5.38,5.29
